domain,key,context,locale,source_text,expected_text,human_reviewed,text
mailpit,title,,hu_HU,Mailpit,Mailpit,0,Mailpit
mailpit,subtitle,,hu_HU,"Captured development emails","Elfogott fejlesztői emailek",0,"Elfogott fejlesztői emailek"
mailpit,inbox,,hu_HU,Inbox,"Bejövő levelek",0,"Bejövő levelek"
mailpit,search,,hu_HU,Search,Keresés,0,Keresés
mailpit,refresh,,hu_HU,Refresh,Frissítés,0,Frissítés
mailpit,back_to_inbox,,hu_HU,"Back to inbox","Vissza a bejövőkhöz",0,"Vissza a bejövőkhöz"
mailpit,messages,,hu_HU,Messages,Üzenetek,0,Üzenetek
mailpit,unread,,hu_HU,Unread,Olvasatlan,0,Olvasatlan
mailpit,empty,,hu_HU,"No captured emails found.","Nem található elfogott email.",0,"Nem található elfogott email."
mailpit,unavailable,,hu_HU,"Mailpit is unavailable","A Mailpit nem érhető el",0,"A Mailpit nem érhető el"
mailpit,not_found,,hu_HU,"Mailpit view not found","A Mailpit nézet nem található",0,"A Mailpit nézet nem található"
mailpit,access_denied,,hu_HU,"Mailpit catcher is only available in non-production for email admins and system developers.","A Mailpit catcher csak nem production környezetben érhető el email adminoknak és rendszerfejlesztőknek.",0,"A Mailpit catcher csak nem production környezetben érhető el email adminoknak és rendszerfejlesztőknek."
mailpit,page_not_resolved,,hu_HU,"Mailpit catcher page could not be resolved.","A Mailpit catcher oldal nem oldható fel.",0,"A Mailpit catcher oldal nem oldható fel."
mailpit,col.subject,,hu_HU,Subject,Tárgy,0,Tárgy
mailpit,col.from,,hu_HU,From,Feladó,0,Feladó
mailpit,col.to,,hu_HU,To,Címzett,0,Címzett
mailpit,col.received,,hu_HU,Received,Beérkezett,0,Beérkezett
mailpit,col.size,,hu_HU,Size,Méret,0,Méret
mailpit,pagination.previous,,hu_HU,Previous,Előző,0,Előző
mailpit,pagination.next,,hu_HU,Next,Következő,0,Következő
mailpit,no_subject,,hu_HU,"(no subject)","(nincs tárgy)",0,"(nincs tárgy)"
mailpit,delete,,hu_HU,Delete,Törlés,0,Törlés
mailpit,meta.from,,hu_HU,From,Feladó,0,Feladó
mailpit,meta.to,,hu_HU,To,Címzett,0,Címzett
mailpit,meta.cc,,hu_HU,Cc,Cc,0,Cc
mailpit,meta.bcc,,hu_HU,Bcc,Bcc,0,Bcc
mailpit,meta.date,,hu_HU,Date,Dátum,0,Dátum
mailpit,meta.size,,hu_HU,Size,Méret,0,Méret
mailpit,html_empty,,hu_HU,"This message has no HTML body.","Ennek az üzenetnek nincs HTML törzse.",0,"Ennek az üzenetnek nincs HTML törzse."
mailpit,html_preview_title,,hu_HU,"Mailpit HTML preview","Mailpit HTML előnézet",0,"Mailpit HTML előnézet"
mailpit,check.supported,,hu_HU,Supported,Támogatott,0,Támogatott
mailpit,check.partial,,hu_HU,Partial,Részleges,0,Részleges
mailpit,check.unsupported,,hu_HU,Unsupported,"Nem támogatott",0,"Nem támogatott"
mailpit,check.tests,,hu_HU,Tests,Tesztek,0,Tesztek
mailpit,check.no_warnings,,hu_HU,"No HTML compatibility warnings.","Nincs HTML kompatibilitási figyelmeztetés.",0,"Nincs HTML kompatibilitási figyelmeztetés."
mailpit,warning_fallback,,hu_HU,Warning,Figyelmeztetés,0,Figyelmeztetés
mailpit,links.status,,hu_HU,Status,Állapot,0,Állapot
mailpit,links.none,,hu_HU,"No links found.","Nem található link.",0,"Nem található link."
mailpit,attachments,,hu_HU,Attachments,Mellékletek,0,Mellékletek
mailpit,inline_attachments,,hu_HU,"Inline attachments","Inline mellékletek",0,"Inline mellékletek"
mailpit,attachment_fallback,,hu_HU,attachment,melléklet,0,melléklet
mailpit,tab_error,,hu_HU,"Mailpit tab content could not be loaded.","A Mailpit tab tartalma nem tölthető be.",0,"A Mailpit tab tartalma nem tölthető be."
mailpit,tab.html,,hu_HU,HTML,HTML,0,HTML
mailpit,tab.html_source,,hu_HU,"HTML Source","HTML forrás",0,"HTML forrás"
mailpit,tab.text,,hu_HU,Text,Szöveg,0,Szöveg
mailpit,tab.headers,,hu_HU,Headers,Fejlécek,0,Fejlécek
mailpit,tab.raw,,hu_HU,Raw,Nyers,0,Nyers
mailpit,tab.html_check,,hu_HU,"HTML Check","HTML ellenőrzés",0,"HTML ellenőrzés"
mailpit,tab.link_check,,hu_HU,"Link Check","Link ellenőrzés",0,"Link ellenőrzés"
widget,mailpit.name,,hu_HU,"Mailpit catcher","Mailpit catcher",0,"Mailpit catcher"
widget,mailpit.description,,hu_HU,"Shows captured Mailpit emails inside the admin UI.","Az elfogott Mailpit emaileket mutatja az admin felületen.",0,"Az elfogott Mailpit emaileket mutatja az admin felületen."
