domain,key,context,locale,source_text,expected_text,human_reviewed,text
import_export,action.export_csv,,ru_RU,"Export CSV","Экспорт CSV",0,"Экспорт CSV"
import_export,action.preview_import,,ru_RU,"Preview import","Предпросмотр импорта",0,"Предпросмотр импорта"
import_export,action.run_import,,ru_RU,"Run import","Запустить импорт",0,"Запустить импорт"
import_export,dataset.i18n_translations.description,,ru_RU,"Export and import translation rows as CSV.","Экспорт и импорт строк перевода в формате CSV.",0,"Экспорт и импорт строк перевода в формате CSV."
import_export,dataset.i18n_translations.name,,ru_RU,"I18n translations","Переводы i18n",0,"Переводы i18n"
import_export,error.dataset_not_found,,ru_RU,"Import/export dataset not found.","Набор данных для импорта/экспорта не найден.",0,"Набор данных для импорта/экспорта не найден."
import_export,error.file_read,,ru_RU,"Unable to read the uploaded CSV file.","Не удалось прочитать загруженный CSV-файл.",0,"Не удалось прочитать загруженный CSV-файл."
import_export,error.file_required,,ru_RU,"Please select a CSV file to import.","Выберите CSV-файл для импорта.",0,"Выберите CSV-файл для импорта."
import_export,error.invalid_format,,ru_RU,"Invalid format","Недопустимый формат",0,"Недопустимый формат"
import_export,error.invalid_mode,,ru_RU,"Invalid import mode.","Недопустимый режим импорта.",0,"Недопустимый режим импорта."
import_export,error.locale_required,,ru_RU,"Locale is required for export.","Для экспорта требуется локаль.",0,"Для экспорта требуется локаль."
import_export,export.title,,ru_RU,"Export CSV","Экспорт CSV",0,"Экспорт CSV"
import_export,field.dataset.label,,ru_RU,Dataset,"Набор данных",0,"Набор данных"
import_export,field.expect_locale.any,,ru_RU,"Any locale in file","Любая локаль в файле",0,"Любая локаль в файле"
import_export,field.expect_locale.help,,ru_RU,"Optional for insert_new and upsert. Sync should normally set this explicitly and always uses a single-locale scope, even when importing wide CSV.","Необязательно для insert_new и upsert. Для sync это обычно следует указывать явно; sync всегда использует область одной локали, даже при импорте широкого CSV.",0,"Необязательно для insert_new и upsert. Для sync это обычно следует указывать явно; sync всегда использует область одной локали, даже при импорте широкого CSV."
import_export,field.expect_locale.label,,ru_RU,"Expected locale","Ожидаемая локаль",0,"Ожидаемая локаль"
import_export,field.file.help,,ru_RU,"Upload a CSV file exported from the same dataset.","Загрузите CSV-файл, экспортированный из того же набора данных.",0,"Загрузите CSV-файл, экспортированный из того же набора данных."
import_export,field.file.label,,ru_RU,"CSV file",CSV-файл,0,CSV-файл
import_export,field.format.help,,ru_RU,"Normalized keeps one row per locale. Wide groups locales into text:<locale> columns.","Normalized сохраняет одну строку на локаль. Wide группирует локали в столбцы text:<locale>.",0,"Normalized сохраняет одну строку на локаль. Wide группирует локали в столбцы text:<locale>."
import_export,field.format.label,,ru_RU,Format,Формат,0,Формат
import_export,field.locale.all,,ru_RU,"All locales","Все локали",0,"Все локали"
import_export,field.locale.help,,ru_RU,"Leave empty to export all locales, or choose one locale for a smaller file. Wide format puts locale values into text:<locale> columns.","Оставьте пустым, чтобы экспортировать все локали, или выберите одну локаль для меньшего файла. Формат wide помещает значения локалей в столбцы text:<locale>.",0,"Оставьте пустым, чтобы экспортировать все локали, или выберите одну локаль для меньшего файла. Формат wide помещает значения локалей в столбцы text:<locale>."
import_export,field.locale.label,,ru_RU,Locale,Локаль,0,Локаль
import_export,field.mode.help,,ru_RU,"Sync is destructive: it deletes rows missing from the imported locale slice and only supports single-locale files.","Sync является разрушительным: он удаляет строки, отсутствующие в импортируемом срезе локали, и поддерживает только файлы с одной локалью.",0,"Sync является разрушительным: он удаляет строки, отсутствующие в импортируемом срезе локали, и поддерживает только файлы с одной локалью."
import_export,field.mode.label,,ru_RU,"Import mode","Режим импорта",0,"Режим импорта"
import_export,format.auto,,ru_RU,Auto-detect,Автоопределение,0,Автоопределение
import_export,format.normalized,,ru_RU,Normalized,Normalized,0,Normalized
import_export,format.wide,,ru_RU,Wide,Wide,0,Wide
import_export,import.title,,ru_RU,"Import CSV","Импорт CSV",0,"Импорт CSV"
import_export,mode.insert_new,,ru_RU,"Insert new only","Только вставка новых",0,"Только вставка новых"
import_export,mode.sync,,ru_RU,"Sync locale slice","Синхронизировать срез локали",0,"Синхронизировать срез локали"
import_export,mode.upsert,,ru_RU,"Upsert existing","Обновить или вставить существующие",0,"Обновить или вставить существующие"
import_export,result.deleted,,ru_RU,Deleted,Удалено,0,Удалено
import_export,result.detected_locale,,ru_RU,"Detected locale","Обнаруженная локаль",0,"Обнаруженная локаль"
import_export,result.detected_locales,,ru_RU,"Detected locales","Обнаруженные локали",0,"Обнаруженные локали"
import_export,result.dry_run_summary,,ru_RU,"Dry-run summary for {dataset}.","Сводка пробного запуска для {dataset}.",0,"Сводка пробного запуска для {dataset}."
import_export,result.error_summary,,ru_RU,"Import finished with errors for {dataset}.","Импорт для {dataset} завершён с ошибками.",0,"Импорт для {dataset} завершён с ошибками."
import_export,result.format,,ru_RU,Format,Формат,0,Формат
import_export,result.imported,,ru_RU,Imported,Импортировано,0,Импортировано
import_export,result.inserted,,ru_RU,Inserted,Вставлено,0,Вставлено
import_export,result.mode,,ru_RU,Mode,Режим,0,Режим
import_export,result.processed,,ru_RU,Processed,Обработано,0,Обработано
import_export,result.skipped,,ru_RU,Skipped,Пропущено,0,Пропущено
import_export,result.success_summary,,ru_RU,"Import completed successfully for {dataset}.","Импорт для {dataset} успешно завершён.",0,"Импорт для {dataset} успешно завершён."
import_export,result.updated,,ru_RU,Updated,Обновлено,0,Обновлено
import_export,workbench.description,,ru_RU,"Export data to CSV or import CSV files into registered datasets.","Экспортируйте данные в CSV или импортируйте CSV-файлы в зарегистрированные наборы данных.",0,"Экспортируйте данные в CSV или импортируйте CSV-файлы в зарегистрированные наборы данных."
import_export,workbench.no_datasets,,ru_RU,"No import/export datasets are available.","Нет доступных наборов данных для импорта/экспорта.",0,"Нет доступных наборов данных для импорта/экспорта."
import_export,workbench.title,,ru_RU,"Import / Export","Импорт / Экспорт",0,"Импорт / Экспорт"
