domain,key,context,locale,source_text,expected_text,human_reviewed,text
user,action.datasheet,,ru_RU,Datasheet,Карточка,0,Карточка
user,action.edit,,ru_RU,Edit,Редактировать,0,Редактировать
user,action.roles,,ru_RU,"Custom roles","Пользовательские роли",0,"Пользовательские роли"
user,action.usergroups,,ru_RU,"Group memberships","Членство в группах",0,"Членство в группах"
user,col.actions,,ru_RU,Actions,Действия,0,Действия
user,col.username,,ru_RU,Username,"Имя пользователя",0,"Имя пользователя"
user,description.action.edit,,ru_RU,"Edit user","Редактировать пользователя",0,"Редактировать пользователя"
user,description.tab.active,,ru_RU,Active,Активный,0,Активный
user,description.tab.service,,ru_RU,Service,Сервис,0,Сервис
user,description.tab.shipping,,ru_RU,"Awaiting shipment","Ожидает отправки",0,"Ожидает отправки"
user,description.title,,ru_RU,User,Пользователь,0,Пользователь
user,error_missing_user_id,,ru_RU,"User ID is missing","Отсутствует ID пользователя",0,"Отсутствует ID пользователя"
user,error_no_selector_specified,,ru_RU,"No user or user group specified","Не указан пользователь или группа пользователей",0,"Не указан пользователь или группа пользователей"
user,error_not_found,,ru_RU,"User not found","Пользователь не найден",0,"Пользователь не найден"
user,error_not_found_with_id,,ru_RU,"User not found: {id}","Пользователь не найден: {id}",0,"Пользователь не найден: {id}"
user,error_parameter_mismatch,,ru_RU,"Parameter mismatch","Несоответствие параметров",0,"Несоответствие параметров"
user,error_save,,ru_RU,"Error: Unable to save user","Ошибка: не удалось сохранить пользователя",0,"Ошибка: не удалось сохранить пользователя"
user,field.locale.explanation,,ru_RU,"Interface language for this user","Язык интерфейса для этого пользователя",0,"Язык интерфейса для этого пользователя"
user,field.locale.label,,ru_RU,Language,Язык,0,Язык
user,field.password_confirm.explanation,,ru_RU,"Re-enter the password","Повторно введите пароль",0,"Повторно введите пароль"
user,field.password_confirm.label,,ru_RU,"Confirm password","Подтвердите пароль",0,"Подтвердите пароль"
user,field.password.explanation,,ru_RU,"Enter the password","Введите пароль",0,"Введите пароль"
user,field.password.label,,ru_RU,Password,Пароль,0,Пароль
user,field.timezone.explanation,,ru_RU,"IANA timezone identifier (e.g. Europe/Budapest). Leave empty for UTC.","Идентификатор часового пояса IANA (например, Europe/Budapest). Оставьте пустым для UTC.",0,"Идентификатор часового пояса IANA (например, Europe/Budapest). Оставьте пустым для UTC."
user,field.timezone.label,,ru_RU,Timezone,"Часовой пояс",0,"Часовой пояс"
user,field.user_id.label,,ru_RU,"User ID","ID пользователя",0,"ID пользователя"
user,field.username.explanation,,ru_RU,"Enter the desired username","Введите желаемое имя пользователя",0,"Введите желаемое имя пользователя"
user,field.username.label,,ru_RU,Username,"Имя пользователя",0,"Имя пользователя"
user,form.name,,ru_RU,User,Пользователь,0,Пользователь
user,form.title_create,,ru_RU,"New user","Новый пользователь",0,"Новый пользователь"
user,form.title_edit,,ru_RU,"Edit user","Редактировать пользователя",0,"Редактировать пользователя"
user,list.new,,ru_RU,"New user","Новый пользователь",0,"Новый пользователь"
user,list.title,,ru_RU,Users,Пользователи,0,Пользователи
user,login.button,,ru_RU,Login,Вход,0,Вход
