domain,key,context,locale,source_text,expected_text,human_reviewed,text
user,action.datasheet,,ko_KR,Datasheet,데이터시트,0,데이터시트
user,action.edit,,ko_KR,Edit,편집,0,편집
user,action.roles,,ko_KR,"Custom roles","사용자 정의 역할",0,"사용자 정의 역할"
user,action.usergroups,,ko_KR,"Group memberships","그룹 멤버십",0,"그룹 멤버십"
user,col.actions,,ko_KR,Actions,작업,0,작업
user,col.username,,ko_KR,Username,사용자명,0,사용자명
user,description.action.edit,,ko_KR,"Edit user","사용자 편집",0,"사용자 편집"
user,description.tab.active,,ko_KR,Active,활성,0,활성
user,description.tab.service,,ko_KR,Service,서비스,0,서비스
user,description.tab.shipping,,ko_KR,"Awaiting shipment","배송 대기 중",0,"배송 대기 중"
user,description.title,,ko_KR,User,사용자,0,사용자
user,error_missing_user_id,,ko_KR,"User ID is missing","사용자 ID가 누락됨",0,"사용자 ID가 누락됨"
user,error_no_selector_specified,,ko_KR,"No user or user group specified","사용자 또는 사용자 그룹이 지정되지 않음",0,"사용자 또는 사용자 그룹이 지정되지 않음"
user,error_not_found,,ko_KR,"User not found","사용자를 찾을 수 없습니다",0,"사용자를 찾을 수 없습니다"
user,error_not_found_with_id,,ko_KR,"User not found: {id}","사용자를 찾을 수 없습니다: {id}",0,"사용자를 찾을 수 없습니다: {id}"
user,error_parameter_mismatch,,ko_KR,"Parameter mismatch","매개변수 불일치",0,"매개변수 불일치"
user,error_save,,ko_KR,"Error: Unable to save user","오류: 사용자를 저장할 수 없습니다",0,"오류: 사용자를 저장할 수 없습니다"
user,field.locale.explanation,,ko_KR,"Interface language for this user","이 사용자의 인터페이스 언어",0,"이 사용자의 인터페이스 언어"
user,field.locale.label,,ko_KR,Language,언어,0,언어
user,field.password_confirm.explanation,,ko_KR,"Re-enter the password","비밀번호를 다시 입력하세요",0,"비밀번호를 다시 입력하세요"
user,field.password_confirm.label,,ko_KR,"Confirm password","비밀번호 확인",0,"비밀번호 확인"
user,field.password.explanation,,ko_KR,"Enter the password","비밀번호를 입력하세요",0,"비밀번호를 입력하세요"
user,field.password.label,,ko_KR,Password,비밀번호,0,비밀번호
user,field.timezone.explanation,,ko_KR,"IANA timezone identifier (e.g. Europe/Budapest). Leave empty for UTC.","IANA 시간대 식별자 (예: Europe/Budapest). UTC의 경우 비워두세요.",0,"IANA 시간대 식별자 (예: Europe/Budapest). UTC의 경우 비워두세요."
user,field.timezone.label,,ko_KR,Timezone,시간대,0,시간대
user,field.user_id.label,,ko_KR,"User ID","사용자 ID",0,"사용자 ID"
user,field.username.explanation,,ko_KR,"Enter the desired username","원하는 사용자명을 입력하세요",0,"원하는 사용자명을 입력하세요"
user,field.username.label,,ko_KR,Username,사용자명,0,사용자명
user,form.name,,ko_KR,User,사용자,0,사용자
user,form.title_create,,ko_KR,"New user","새 사용자",0,"새 사용자"
user,form.title_edit,,ko_KR,"Edit user","사용자 편집",0,"사용자 편집"
user,list.new,,ko_KR,"New user","새 사용자",0,"새 사용자"
user,list.title,,ko_KR,Users,사용자,0,사용자
user,login.button,,ko_KR,Login,로그인,0,로그인
user,login.error_invalid_credentials,,ko_KR,"Wrong username or password","사용자명 또는 비밀번호가 잘못됨",0,"사용자명 또는 비밀번호가 잘못됨"
user,login.title,,ko_KR,Login,로그인,0,로그인
user,logout.success,,ko_KR,"You are logged out",로그아웃되었습니다,0,로그아웃되었습니다
user,no_changes,,ko_KR,"No changes made","변경 사항 없음",0,"변경 사항 없음"
user,role_assignment.added,,ko_KR,"Role assigned:<br>{role} -> {target}","역할 할당됨:<br>{role} -> {target}",0,"역할 할당됨:<br>{role} -> {target}"
user,role_assignment.error_add,,ko_KR,"Error: Unable to assign role:<br>{role} -> {target}","오류: 역할을 할당할 수 없습니다:<br>{role} -> {target}",0,"오류: 역할을 할당할 수 없습니다:<br>{role} -> {target}"
user,role_assignment.error_add_generic,,ko_KR,"Error: Unable to assign role.","오류: 역할을 할당할 수 없습니다.",0,"오류: 역할을 할당할 수 없습니다."
user,role_assignment.error_remove,,ko_KR,"Error: Unable to remove role assignment:<br>{role} -> {target}","오류: 역할 할당을 제거할 수 없습니다:<br>{role} -> {target}",0,"오류: 역할 할당을 제거할 수 없습니다:<br>{role} -> {target}"
user,role_assignment.error_remove_generic,,ko_KR,"Error: Unable to remove role assignment.","오류: 역할 할당을 제거할 수 없습니다.",0,"오류: 역할 할당을 제거할 수 없습니다."
user,role_assignment.removed,,ko_KR,"Role assignment removed:<br>{role} -> {target}","역할 할당 제거됨:<br>{role} -> {target}",0,"역할 할당 제거됨:<br>{role} -> {target}"
user,role_selector.available_roles,,ko_KR,"Available roles","사용 가능한 역할",0,"사용 가능한 역할"
user,role_selector.help,,ko_KR,"Check a parent role to grant all child roles automatically. Child roles will be highlighted in green to show they are inherited.","부모 역할을 선택하면 모든 자식 역할이 자동으로 부여됩니다. 상속된 자식 역할은 녹색으로 강조 표시됩니다.",0,"부모 역할을 선택하면 모든 자식 역할이 자동으로 부여됩니다. 상속된 자식 역할은 녹색으로 강조 표시됩니다."
user,role_selector.title,,ko_KR,"Role assignment","역할 할당",0,"역할 할당"
