domain,key,context,locale,source_text,expected_text,human_reviewed,text
import_export,action.export_csv,,fr_FR,"Export CSV","Exporter CSV",0,"Exporter CSV"
import_export,action.preview_import,,fr_FR,"Preview import","Aperçu de l'importation",0,"Aperçu de l'importation"
import_export,action.run_import,,fr_FR,"Run import","Lancer l'importation",0,"Lancer l'importation"
import_export,dataset.i18n_translations.description,,fr_FR,"Export and import translation rows as CSV.","Exporter et importer des lignes de traduction au format CSV.",0,"Exporter et importer des lignes de traduction au format CSV."
import_export,dataset.i18n_translations.name,,fr_FR,"I18n translations","Traductions i18n",0,"Traductions i18n"
import_export,error.dataset_not_found,,fr_FR,"Import/export dataset not found.","Ensemble de données d'importation/exportation introuvable.",0,"Ensemble de données d'importation/exportation introuvable."
import_export,error.file_read,,fr_FR,"Unable to read the uploaded CSV file.","Impossible de lire le fichier CSV téléversé.",0,"Impossible de lire le fichier CSV téléversé."
import_export,error.file_required,,fr_FR,"Please select a CSV file to import.","Veuillez sélectionner un fichier CSV à importer.",0,"Veuillez sélectionner un fichier CSV à importer."
import_export,error.invalid_format,,fr_FR,"Invalid format","Format invalide",0,"Format invalide"
import_export,error.invalid_mode,,fr_FR,"Invalid import mode.","Mode d'importation invalide.",0,"Mode d'importation invalide."
import_export,error.locale_required,,fr_FR,"Locale is required for export.","La langue est obligatoire pour l'exportation.",0,"La langue est obligatoire pour l'exportation."
import_export,export.title,,fr_FR,"Export CSV","Exporter CSV",0,"Exporter CSV"
import_export,field.dataset.label,,fr_FR,Dataset,"Ensemble de données",0,"Ensemble de données"
import_export,field.expect_locale.any,,fr_FR,"Any locale in file","Toute langue dans le fichier",0,"Toute langue dans le fichier"
import_export,field.expect_locale.help,,fr_FR,"Optional for insert_new and upsert. Sync should normally set this explicitly and always uses a single-locale scope, even when importing wide CSV.","Facultatif pour insert_new et upsert. Sync doit normalement définir cela explicitement et utilise toujours une portée à langue unique, même lors de l'importation de CSV large.",0,"Facultatif pour insert_new et upsert. Sync doit normalement définir cela explicitement et utilise toujours une portée à langue unique, même lors de l'importation de CSV large."
import_export,field.expect_locale.label,,fr_FR,"Expected locale","Langue attendue",0,"Langue attendue"
import_export,field.file.help,,fr_FR,"Upload a CSV file exported from the same dataset.","Téléversez un fichier CSV exporté depuis le même ensemble de données.",0,"Téléversez un fichier CSV exporté depuis le même ensemble de données."
