domain,key,context,locale,source_text,expected_text,human_reviewed,text
import_export,action.export_csv,,hu-HU,"Export CSV","CSV exportálása",0,"CSV exportálása"
import_export,action.preview_import,,hu-HU,"Preview import","Import előnézet",0,"Import előnézet"
import_export,action.run_import,,hu-HU,"Run import","Import futtatása",0,"Import futtatása"
import_export,dataset.i18n_translations.description,,hu-HU,"Export and import translation rows as CSV.","Fordítási sorok exportálása és importálása CSV formátumban.",0,"Fordítási sorok exportálása és importálása CSV formátumban."
import_export,dataset.i18n_translations.name,,hu-HU,"I18n translations","I18n fordítások",0,"I18n fordítások"
import_export,error.dataset_not_found,,hu-HU,"Import/export dataset not found.","Az import/export adatkészlet nem található.",0,"Az import/export adatkészlet nem található."
import_export,error.file_read,,hu-HU,"Unable to read the uploaded CSV file.","A feltöltött CSV fájl nem olvasható.",0,"A feltöltött CSV fájl nem olvasható."
import_export,error.file_required,,hu-HU,"Please select a CSV file to import.","Válassz ki egy importálandó CSV fájlt.",0,"Válassz ki egy importálandó CSV fájlt."
import_export,error.invalid_format,,hu-HU,"Invalid format","Érvénytelen formátum",0,"Érvénytelen formátum"
import_export,error.invalid_mode,,hu-HU,"Invalid import mode.","Érvénytelen import mód.",0,"Érvénytelen import mód."
import_export,error.locale_required,,hu-HU,"Locale is required for export.","Az exporthoz locale megadása kötelező.",0,"Az exporthoz locale megadása kötelező."
import_export,error.wide_no_locale_columns,,hu-HU,"Wide CSV must contain at least one text:<locale> column.","A wide CSV-nek legalább egy text:<locale> oszlopot tartalmaznia kell.",0,"A wide CSV-nek legalább egy text:<locale> oszlopot tartalmaznia kell."
import_export,error.upload_backup_required,,hu-HU,"Confirm the uploaded files backup before exporting the site snapshot.","Erősítsd meg a feltöltött fájlok mentését a weboldal snapshot exportálása előtt.",0,"Erősítsd meg a feltöltött fájlok mentését a weboldal snapshot exportálása előtt."
import_export,export.title,,hu-HU,"Export CSV","CSV export",0,"CSV export"
import_export,field.dataset.label,,hu-HU,Dataset,Adatkészlet,0,Adatkészlet
import_export,field.expect_locale.any,,hu-HU,"Any locale in file","Bármely locale a fájlban",0,"Bármely locale a fájlban"
import_export,field.expect_locale.help,,hu-HU,"Optional for insert_new and upsert. Sync should normally set this explicitly and always uses a single-locale scope, even when importing wide CSV.","Az insert_new és az upsert esetén opcionális. Sync módban célszerű ezt megadni, és ott mindig egyetlen locale-szelet használható, még wide CSV import esetén is.",0,"Az insert_new és az upsert esetén opcionális. Sync módban célszerű ezt megadni, és ott mindig egyetlen locale-szelet használható, még wide CSV import esetén is."
import_export,field.expect_locale.label,,hu-HU,"Expected locale","Elvárt locale",0,"Elvárt locale"
import_export,field.file.help,,hu-HU,"Upload a CSV file exported from the same dataset.","Tölts fel egy ugyanebből az adatkészletből exportált CSV fájlt.",0,"Tölts fel egy ugyanebből az adatkészletből exportált CSV fájlt."
import_export,field.file.label,,hu-HU,"CSV file","CSV fájl",0,"CSV fájl"
import_export,field.format.help,,hu-HU,"Normalized keeps one row per locale. Wide groups locales into text:<locale> columns.","A normalizált formátum locale-onként egy sort tart meg. A széles formátum a locale-okat text:<locale> oszlopokba rendezi.",0,"A normalizált formátum locale-onként egy sort tart meg. A széles formátum a locale-okat text:<locale> oszlopokba rendezi."
import_export,field.format.label,,hu-HU,Format,Formátum,0,Formátum
import_export,field.locale.all,,hu-HU,"All locales","Összes locale",0,"Összes locale"
import_export,field.locale.help,,hu-HU,"Leave empty to export all locales, or choose one locale for a smaller file. Wide format puts locale values into text:<locale> columns.","Hagyd üresen az összes locale exportálásához, vagy válassz egy locale-t a kisebb fájlhoz. A széles formátum a locale értékeket text:<locale> oszlopokba teszi.",0,"Hagyd üresen az összes locale exportálásához, vagy válassz egy locale-t a kisebb fájlhoz. A széles formátum a locale értékeket text:<locale> oszlopokba teszi."
import_export,field.locale.label,,hu-HU,Locale,"Nyelvi környezet",0,"Nyelvi környezet"
import_export,field.mode.help,,hu-HU,"Sync is destructive: it deletes rows missing from the imported locale slice and only supports single-locale files.","A sync destruktív: törli az importált locale-szeletből hiányzó sorokat, és csak egyetlen locale-t tartalmazó fájlt támogat.",0,"A sync destruktív: törli az importált locale-szeletből hiányzó sorokat, és csak egyetlen locale-t tartalmazó fájlt támogat."
import_export,field.mode.label,,hu-HU,"Import mode","Import mód",0,"Import mód"
import_export,format.auto,,hu-HU,Auto-detect,"Automatikus felismerés",0,"Automatikus felismerés"
import_export,format.normalized,,hu-HU,Normalized,Normalizált,0,Normalizált
import_export,format.wide,,hu-HU,Wide,Széles,0,Széles
import_export,import.title,,hu-HU,"Import CSV","CSV import",0,"CSV import"
