domain,key,context,locale,source_text,expected_text,human_reviewed,allow_source_match,text
user,action.datasheet,,zh-Hans-CN,Datasheet,数据表,0,0,数据表
user,action.edit,,zh-Hans-CN,Edit,编辑,0,0,编辑
user,action.roles,,zh-Hans-CN,"Custom roles",自定义角色,0,0,自定义角色
user,action.usergroups,,zh-Hans-CN,"Group memberships",组成员关系,0,0,组成员关系
user,col.actions,,zh-Hans-CN,Actions,操作,0,0,操作
user,col.username,,zh-Hans-CN,Username,用户名,0,0,用户名
user,description.action.edit,,zh-Hans-CN,"Edit user",编辑用户,0,0,编辑用户
user,description.tab.active,,zh-Hans-CN,Active,活跃,0,0,活跃
user,description.tab.service,,zh-Hans-CN,Service,服务,0,0,服务
user,description.tab.shipping,,zh-Hans-CN,"Awaiting shipment",等待发货,0,0,等待发货
user,description.title,,zh-Hans-CN,User,用户,0,0,用户
user,error_missing_user_id,,zh-Hans-CN,"User ID is missing","用户 ID 缺失",0,0,"用户 ID 缺失"
user,error_no_selector_specified,,zh-Hans-CN,"No user or user group specified",未指定用户或用户组,0,0,未指定用户或用户组
user,error_not_found,,zh-Hans-CN,"User not found",未找到用户,0,0,未找到用户
user,error_not_found_with_id,,zh-Hans-CN,"User not found: {id}",未找到用户：{id},0,0,未找到用户：{id}
user,error_parameter_mismatch,,zh-Hans-CN,"Parameter mismatch",参数不匹配,0,0,参数不匹配
user,error_save,,zh-Hans-CN,"Error: Unable to save user",错误：无法保存用户,0,0,错误：无法保存用户
user,field.locale.explanation,,zh-Hans-CN,"Interface language for this user",此用户的界面语言,0,0,此用户的界面语言
user,field.locale.label,,zh-Hans-CN,Language,语言,0,0,语言
user,field.password_confirm.explanation,,zh-Hans-CN,"Re-enter the password",重新输入密码,0,0,重新输入密码
user,field.password_confirm.label,,zh-Hans-CN,"Confirm password",确认密码,0,0,确认密码
user,field.password.explanation,,zh-Hans-CN,"Enter the password",输入密码,0,0,输入密码
user,field.password.label,,zh-Hans-CN,Password,密码,0,0,密码
user,field.timezone.explanation,,zh-Hans-CN,"IANA timezone identifier (e.g. Europe/Budapest). Leave empty for UTC.","IANA 时区标识符（如 Asia/Shanghai）。留空则使用 UTC。",0,0,"IANA 时区标识符（如 Asia/Shanghai）。留空则使用 UTC。"
user,field.timezone.label,,zh-Hans-CN,Timezone,时区,0,0,时区
user,field.user_id.label,,zh-Hans-CN,"User ID","用户 ID",0,0,"用户 ID"
user,field.username.explanation,,zh-Hans-CN,"Enter the desired username",输入所需用户名,0,0,输入所需用户名
user,field.username.label,,zh-Hans-CN,Username,用户名,0,0,用户名
user,form.name,,zh-Hans-CN,User,用户,0,0,用户
user,form.title_create,,zh-Hans-CN,"New user",新用户,0,0,新用户
user,form.title_edit,,zh-Hans-CN,"Edit user",编辑用户,0,0,编辑用户
user,list.new,,zh-Hans-CN,"New user",新用户,0,0,新用户
user,list.title,,zh-Hans-CN,Users,用户,0,0,用户
user,login.button,,zh-Hans-CN,Login,登录,0,0,登录
user,login.error_invalid_credentials,,zh-Hans-CN,"Wrong username or password",用户名或密码错误,0,0,用户名或密码错误
user,login.title,,zh-Hans-CN,Login,登录,0,0,登录
user,logout.success,,zh-Hans-CN,"You are logged out",您已退出登录,0,0,您已退出登录
