domain,key,context,locale,source_text,expected_text,human_reviewed,text
admin,i18n.col.domain,,ja_JP,Domain,ドメイン,0,ドメイン
admin,i18n.col.key,,ja_JP,Key,キー,0,キー
admin,i18n.col.reviewed,,ja_JP,Reviewed,レビュー済み,0,レビュー済み
admin,i18n.col.source,,ja_JP,Source,ソース,0,ソース
admin,i18n.col.status,,ja_JP,Status,ステータス,0,ステータス
admin,i18n.col.translation,,ja_JP,Translation,翻訳,0,翻訳
admin,i18n.domain,,ja_JP,Domain,ドメイン,0,ドメイン
admin,i18n.locale,,ja_JP,Locale,ロケール,0,ロケール
admin,i18n.search_placeholder,,ja_JP,Search source or translation,ソースまたは翻訳を検索,0,ソースまたは翻訳を検索
admin,i18n.status,,ja_JP,Status,ステータス,0,ステータス
admin,i18n.status.ai_generated,,ja_JP,AI-generated,AI生成,0,AI生成
admin,i18n.status.approved,,ja_JP,Approved,承認済み,0,承認済み
admin,i18n.status.missing,,ja_JP,Missing,不足,0,不足
admin,i18n.status.needs_review,,ja_JP,Needs review,レビュー必要,0,レビュー必要
admin,i18n.status.translated,,ja_JP,Translated,翻訳済み,0,翻訳済み
admin,i18n.title,,ja_JP,Translation workbench,翻訳ワークベンチ,0,翻訳ワークベンチ
admin,i18n.tm.exact_match_only,,ja_JP,Exact-match suggestions only,完全一致の候補のみ,0,完全一致の候補のみ
admin,i18n.tm.exact_matches,,ja_JP,Exact matches,完全一致,0,完全一致
admin,i18n.tm.exact_then_similar,,ja_JP,Exact matches load first. Similar matches load afterwards.,完全一致を先に読み込み、類似一致をその後に読み込みます。,0,完全一致を先に読み込み、類似一致をその後に読み込みます。
admin,i18n.tm.no_exact_matches,,ja_JP,No exact matches,完全一致なし,0,完全一致なし
admin,i18n.tm.no_similar_matches,,ja_JP,No similar matches,類似一致なし,0,類似一致なし
admin,i18n.tm.origin,,ja_JP,Origin,元,0,元
admin,i18n.tm.review_placeholders,,ja_JP,Review placeholders,プレースホルダーを確認,0,プレースホルダーを確認
admin,i18n.tm.safe,,ja_JP,Safe,安全,0,安全
admin,i18n.tm.similar_matches,,ja_JP,Similar matches,類似一致,0,類似一致
admin,i18n.tm.similarity,,ja_JP,Similarity,類似度,0,類似度
admin,i18n.tm.source_example,,ja_JP,Source example,ソース例,0,ソース例
admin,i18n.tm.title,,ja_JP,Translation memory suggestions,翻訳メモリーの候補,0,翻訳メモリーの候補
admin,menu.admin_menu,,ja_JP,Admin menu,管理メニュー,0,管理メニュー
admin,menu.blog,,ja_JP,Blog,ブログ,0,ブログ
admin,menu.custom_menu,,ja_JP,Custom menu,カスタムメニュー,0,カスタムメニュー
admin,menu.home,,ja_JP,Admin home,管理ホーム,0,管理ホーム
admin,menu.import_export,,ja_JP,Import / Export,インポート / エクスポート,0,インポート / エクスポート
admin,menu.phpinfo,,ja_JP,PHPinfo,PHP情報,0,PHP情報
admin,menu.resource_tree,,ja_JP,Website structure,ウェブサイト構造,0,ウェブサイト構造
admin,menu.roles,,ja_JP,Roles,ロール,0,ロール
admin,menu.section.administration,,ja_JP,Administration,管理,0,管理
admin,menu.section.configuration,,ja_JP,Configuration,設定,0,設定
admin,menu.section.content,,ja_JP,Content,コンテンツ,0,コンテンツ
admin,menu.section.developer_tools,,ja_JP,Developer tools,開発者ツール,0,開発者ツール
admin,menu.template_engines,,ja_JP,Template engines,テンプレートエンジン,0,テンプレートエンジン
admin,menu.theme_selector,,ja_JP,Theme selection,テーマ選択,0,テーマ選択
admin,menu.translations,,ja_JP,Translations,翻訳,0,翻訳
admin,menu.usergroups,,ja_JP,User groups,ユーザーグループ,0,ユーザーグループ
admin,menu.widget_preview,,ja_JP,Widget preview,ウィジェットプレビュー,0,ウィジェットプレビュー
cms,admin_dropdown.edit_mode,,ja_JP,Edit mode,編集モード,0,編集モード
cms,admin_dropdown.edit_mode_off,,ja_JP,off,オフ,0,オフ
cms,admin_dropdown.edit_mode_on,,ja_JP,on,オン,0,オン
cms,admin_dropdown.seo,,ja_JP,SEO,SEO,0,SEO
cms,admin_menu.form.name,,ja_JP,Admin menu administration,管理メニュー管理,0,管理メニュー管理
cms,admin_menu.form.title_create,,ja_JP,Create admin menu item,管理メニュー項目を作成,0,管理メニュー項目を作成
cms,admin_menu.form.title_edit,,ja_JP,Edit admin menu item,管理メニュー項目を編集,0,管理メニュー項目を編集
cms,edit,,ja_JP,Edit,編集,0,編集
cms,edit_mode.disabled,,ja_JP,Edit mode disabled,編集モードを無効にしました,0,編集モードを無効にしました
cms,edit_mode.enabled,,ja_JP,Edit mode enabled,編集モードを有効にしました,0,編集モードを有効にしました
cms,edit_mode.save_error,,ja_JP,Error: Unable to save configuration,エラー：設定を保存できません,0,エラー：設定を保存できません
cms,error.login_page_missing,,ja_JP,Login page not found - create it manually,ログインページが見つかりません - 手動で作成してください,0,ログインページが見つかりません - 手動で作成してください
cms,file_upload.destination_path,,ja_JP,Destination path,移動先パス,0,移動先パス
cms,file_upload.unknown_destination,,ja_JP,Unknown destination path,不明な移動先パス,0,不明な移動先パス
cms,file.missing_ref_id,,ja_JP,Missing file reference,ファイル参照が不足しています,0,ファイル参照が不足しています
cms,file.upload_error,,ja_JP,Error: File upload failed,エラー：ファイルのアップロードに失敗しました,0,エラー：ファイルのアップロードに失敗しました
cms,file.uploaded,,ja_JP,File uploaded,ファイルをアップロードしました,0,ファイルをアップロードしました
cms,form.field.form_id.explanation,,ja_JP,Select from the predefined forms,定義済みフォームから選択,0,定義済みフォームから選択
cms,form.field.form_id.label,,ja_JP,Form,フォーム,0,フォーム
cms,form.missing_widget_id,,ja_JP,Widget ID is missing,ウィジェットIDが不足しています,0,ウィジェットIDが不足しています
cms,form.no_form_page_warning,,ja_JP,Create at least one page with a blank form,空白のフォームを持つページを少なくとも1つ作成してください,0,空白のフォームを持つページを少なくとも1つ作成してください
cms,form.no_id,,ja_JP,No form ID given,フォームIDが指定されていません,0,フォームIDが指定されていません
cms,form.settings_subtitle,,ja_JP,Page: {page},ページ：{page},0,ページ：{page}
cms,library.folder,,ja_JP,Folder,フォルダ,0,フォルダ
cms,library.resource,,ja_JP,Resource,リソース,0,リソース
cms,library.unknown,,ja_JP,Unknown library,不明なライブラリ,0,不明なライブラリ
cms,menu.delete_confirm,,ja_JP,Are you sure you want to delete this menu item?,このメニュー項目を削除しますか？,0,このメニュー項目を削除しますか？
cms,menu.delete_failed,,ja_JP,Delete failed,削除に失敗しました,0,削除に失敗しました
cms,menu.delete_forbidden,,ja_JP,Menu item deletion is not allowed: {name},メニュー項目の削除は許可されていません：{name},0,メニュー項目の削除は許可されていません：{name}
cms,menu.delete_unknown_error,,ja_JP,Error: An unknown error occurred while deleting the menu item,エラー：メニュー項目の削除中に不明なエラーが発生しました,0,エラー：メニュー項目の削除中に不明なエラーが発生しました
cms,menu.deleted,,ja_JP,Menu item deleted: {name},メニュー項目を削除しました：{name},0,メニュー項目を削除しました：{name}
cms,menu.external_link,,ja_JP,External link,外部リンク,0,外部リンク
cms,menu.field.node_name.label,,ja_JP,Display text,表示テキスト,0,表示テキスト
cms,menu.field.page.explanation,,ja_JP,Select the page this menu item points to,このメニュー項目が指すページを選択,0,このメニュー項目が指すページを選択
cms,menu.field.page.label,,ja_JP,Page,ページ,0,ページ
cms,menu.field.type.external,,ja_JP,Points to external page,外部ページを指しています,0,外部ページを指しています
cms,menu.field.type.internal,,ja_JP,Points to internal page,内部ページを指しています,0,内部ページを指しています
cms,menu.field.type.label,,ja_JP,Link type,リンクタイプ,0,リンクタイプ
cms,menu.field.url.explanation,,ja_JP,You can enter a custom URL (including mailto:// links),カスタムURL（mailto://リンクを含む）を入力できます,0,カスタムURL（mailto://リンクを含む）を入力できます
cms,menu.field.url.label,,ja_JP,Custom URL,カスタムURL,0,カスタムURL
cms,menu.form.name,,ja_JP,Main menu item,メインメニュー項目,0,メインメニュー項目
cms,menu.form.title_create,,ja_JP,Create menu item,メニュー項目を作成,0,メニュー項目を作成
cms,menu.form.title_edit,,ja_JP,Edit menu item,メニュー項目を編集,0,メニュー項目を編集
cms,menu.internal_link,,ja_JP,Internal link,内部リンク,0,内部リンク
cms,menu.move_error,,ja_JP,Error: Unable to move menu item,エラー：メニュー項目を移動できません,0,エラー：メニュー項目を移動できません
cms,menu.move_success,,ja_JP,Menu item moved: {name},メニュー項目を移動しました：{name},0,メニュー項目を移動しました：{name}
cms,menu.new_child,,ja_JP,New submenu item,新しいサブメニュー項目,0,新しいサブメニュー項目
cms,menu.new_item,,ja_JP,New menu item,新しいメニュー項目,0,新しいメニュー項目
cms,menu.no_link_configured,,ja_JP,No link configured,リンクが設定されていません,0,リンクが設定されていません
cms,menu.root,,ja_JP,Main menu,メインメニュー,0,メインメニュー
cms,menu.saved,,ja_JP,Menu item saved,メニュー項目を保存しました,0,メニュー項目を保存しました
cms,menu.selection_help,,ja_JP,"Select a menu item to edit it, or create a new one.",メニュー項目を選択して編集するか、新しく作成してください。,0,メニュー項目を選択して編集するか、新しく作成してください。
cms,menu.updated,,ja_JP,Menu item updated,メニュー項目を更新しました,0,メニュー項目を更新しました
cms,menu.validation.node_name_max_length,,ja_JP,Display text must not exceed 255 characters,表示テキストは255文字以内にしてください,0,表示テキストは255文字以内にしてください
cms,menu.validation.type_required,,ja_JP,Choose whether the link points to an internal or external page,リンクが内部ページか外部ページかを選択,0,リンクが内部ページか外部ページかを選択
cms,menu.validation.url_max_length,,ja_JP,URL must not exceed 255 characters,URLは255文字以内にしてください,0,URLは255文字以内にしてください
cms,menu.validation.url_required,,ja_JP,Select a page or enter a URL,ページを選択またはURLを入力,0,ページを選択またはURLを入力
