domain,key,context,locale,source_text,expected_text,human_reviewed,text
admin,email_outbox.col.created_at,,ru-RU,Created,Created,0,Created
admin,email_outbox.col.id,,ru-RU,ID,ID,0,ID
admin,email_outbox.col.last_error,,ru-RU,"Last error","Last error",0,"Last error"
admin,email_outbox.col.recipients,,ru-RU,Recipients,Recipients,0,Recipients
admin,email_outbox.col.sent_at,,ru-RU,Sent,Sent,0,Sent
admin,email_outbox.col.status,,ru-RU,Status,Статус,0,Статус
admin,email_outbox.col.subject,,ru-RU,Subject,Субъект,0,Субъект
admin,email_outbox.description,,ru-RU,"Read-only transactional email delivery history.","История доставки транзакционных писем только для чтения.",0,"История доставки транзакционных писем только для чтения."
admin,email_outbox.failures.title,,ru-RU,"Recent dead letters","Недавние недоставленные письма",0,"Недавние недоставленные письма"
admin,email_outbox.filters.apply,,ru-RU,"Apply filters","Apply filters",0,"Apply filters"
admin,email_outbox.filters.reset,,ru-RU,Reset,Reset,0,Reset
admin,email_outbox.filters.search,,ru-RU,Search,Поиск,0,Поиск
admin,email_outbox.filters.search_placeholder,,ru-RU,"Subject, message UID, or recipient email","Тема, UID сообщения или email получателя",0,"Тема, UID сообщения или email получателя"
admin,email_outbox.filters.status,,ru-RU,Status,Статус,0,Статус
admin,email_outbox.filters.title,,ru-RU,Filters,Filters,0,Filters
admin,email_outbox.list.title,,ru-RU,"Recent outbox entries","Недавние записи исходящей почты",0,"Недавние записи исходящей почты"
admin,email_outbox.none,,ru-RU,"No emails match the current filter.","Нет писем, соответствующих текущему фильтру.",0,"Нет писем, соответствующих текущему фильтру."
admin,email_outbox.pagination.page,,ru-RU,Page,Страница,0,Страница
admin,email_outbox.status.all,,ru-RU,"All statuses","All statuses",0,"All statuses"
admin,email_outbox.status.failed,,ru-RU,Failed,Failed,0,Failed
admin,email_outbox.status.partial_failed,,ru-RU,"Partial failed","Partial failed",0,"Partial failed"
admin,email_outbox.status.processing,,ru-RU,Processing,Processing,0,Processing
admin,email_outbox.status.queued,,ru-RU,Queued,Queued,0,Queued
admin,email_outbox.status.sent,,ru-RU,Sent,Sent,0,Sent
admin,email_outbox.summary.title,,ru-RU,"Queue summary","Queue summary",0,"Queue summary"
admin,email_outbox.title,,ru-RU,"Email outbox","Исходящая почта",0,"Исходящая почта"
admin,email_queue.dead_letter,,ru-RU,"Dead letter","Dead letter",0,"Dead letter"
admin,email_queue.empty,,ru-RU,"No email jobs are waiting right now.","Сейчас нет ожидающих email-заданий.",0,"Сейчас нет ожидающих email-заданий."
admin,email_queue.last_processed,,ru-RU,"Last processed","Last processed",0,"Last processed"
admin,email_queue.last_seen,,ru-RU,"Last seen","Last seen",0,"Last seen"
admin,email_queue.open_outbox,,ru-RU,"Open email outbox","Открыть исходящую email-почту",0,"Открыть исходящую email-почту"
admin,email_queue.pending,,ru-RU,Pending,Pending,0,Pending
admin,email_queue.retry_wait,,ru-RU,"Retry wait","Retry wait",0,"Retry wait"
admin,email_queue.sent_last_24h,,ru-RU,"Sent in last 24h","Sent in last 24h",0,"Sent in last 24h"
admin,email_queue.status.never_seen,,ru-RU,"Never seen","Never seen",0,"Never seen"
admin,email_queue.status.running,,ru-RU,Running,Running,0,Running
admin,email_queue.status.stale,,ru-RU,Stale,Устарело,0,Устарело
admin,email_queue.status.unavailable,,ru-RU,Unavailable,Unavailable,0,Unavailable
admin,email_queue.subtitle,,ru-RU,"Transactional delivery health at a glance.","Состояние транзакционной доставки с первого взгляда.",0,"Состояние транзакционной доставки с первого взгляда."
admin,email_queue.title,,ru-RU,"Email queue","Очередь email",0,"Очередь email"
admin,email_queue.worker,,ru-RU,Worker,Worker,0,Worker
admin,i18n.col.domain,,ru-RU,Domain,Домен,0,Домен
