domain,key,context,locale,source_text,expected_text,human_reviewed,text
import_export,action.export_csv,,ko_KR,"Export CSV","CSV 내보내기",0,"CSV 내보내기"
import_export,action.preview_import,,ko_KR,"Preview import","가져오기 미리보기",0,"가져오기 미리보기"
import_export,action.run_import,,ko_KR,"Run import","가져오기 실행",0,"가져오기 실행"
import_export,dataset.i18n_translations.description,,ko_KR,"Export and import translation rows as CSV.","번역 행을 CSV로 내보내고 가져옵니다.",0,"번역 행을 CSV로 내보내고 가져옵니다."
import_export,dataset.i18n_translations.name,,ko_KR,"I18n translations","I18n 번역",0,"I18n 번역"
import_export,error.dataset_not_found,,ko_KR,"Import/export dataset not found.","가져오기/내보내기 데이터셋을 찾을 수 없습니다.",0,"가져오기/내보내기 데이터셋을 찾을 수 없습니다."
import_export,error.file_read,,ko_KR,"Unable to read the uploaded CSV file.","업로드된 CSV 파일을 읽을 수 없습니다.",0,"업로드된 CSV 파일을 읽을 수 없습니다."
import_export,error.file_required,,ko_KR,"Please select a CSV file to import.","가져올 CSV 파일을 선택하세요.",0,"가져올 CSV 파일을 선택하세요."
import_export,error.invalid_format,,ko_KR,"Invalid format","잘못된 형식",0,"잘못된 형식"
import_export,error.invalid_mode,,ko_KR,"Invalid import mode.","잘못된 가져오기 모드.",0,"잘못된 가져오기 모드."
import_export,error.locale_required,,ko_KR,"Locale is required for export.","내보내기에는 로케일이 필요합니다.",0,"내보내기에는 로케일이 필요합니다."
import_export,export.title,,ko_KR,"Export CSV","CSV 내보내기",0,"CSV 내보내기"
import_export,field.dataset.label,,ko_KR,Dataset,데이터셋,0,데이터셋
import_export,field.expect_locale.any,,ko_KR,"Any locale in file","파일의 모든 로케일",0,"파일의 모든 로케일"
import_export,field.expect_locale.help,,ko_KR,"Optional for insert_new and upsert. Sync should normally set this explicitly and always uses a single-locale scope, even when importing wide CSV.","insert_new 및 upsert에서는 선택사항. sync는 일반적으로 명시적으로 설정해야 하며 와이드 CSV를 가져올 때도 항상 단일 로케일 범위를 사용합니다.",0,"insert_new 및 upsert에서는 선택사항. sync는 일반적으로 명시적으로 설정해야 하며 와이드 CSV를 가져올 때도 항상 단일 로케일 범위를 사용합니다."
import_export,field.expect_locale.label,,ko_KR,"Expected locale","예상 로케일",0,"예상 로케일"
import_export,field.file.help,,ko_KR,"Upload a CSV file exported from the same dataset.","동일한 데이터셋에서 내보낸 CSV 파일을 업로드하세요.",0,"동일한 데이터셋에서 내보낸 CSV 파일을 업로드하세요."
import_export,field.file.label,,ko_KR,"CSV file","CSV 파일",0,"CSV 파일"
import_export,field.format.help,,ko_KR,"Normalized keeps one row per locale. Wide groups locales into text:<locale> columns.","정규화는 로케일당 하나의 행을 유지합니다. 와이드는 로케일을 text:<locale> 열로 그룹화합니다.",0,"정규화는 로케일당 하나의 행을 유지합니다. 와이드는 로케일을 text:<locale> 열로 그룹화합니다."
import_export,field.format.label,,ko_KR,Format,형식,0,형식
import_export,field.locale.all,,ko_KR,"All locales","모든 로케일",0,"모든 로케일"
import_export,field.locale.help,,ko_KR,"Leave empty to export all locales, or choose one locale for a smaller file. Wide format puts locale values into text:<locale> columns.","모든 로케일을 내보내려면 비워두거나 작은 파일을 위해 하나의 로케일을 선택하세요. 와이드 형식은 로케일 값을 text:<locale> 열에 넣습니다.",0,"모든 로케일을 내보내려면 비워두거나 작은 파일을 위해 하나의 로케일을 선택하세요. 와이드 형식은 로케일 값을 text:<locale> 열에 넣습니다."
import_export,field.locale.label,,ko_KR,Locale,로케일,0,로케일
import_export,field.mode.help,,ko_KR,"Sync is destructive: it deletes rows missing from the imported locale slice and only supports single-locale files.","Sync는 파괴적입니다: 가져온 로케일 슬라이스에서 누락된 행을 삭제하며 단일 로케일 파일만 지원합니다.",0,"Sync는 파괴적입니다: 가져온 로케일 슬라이스에서 누락된 행을 삭제하며 단일 로케일 파일만 지원합니다."
import_export,field.mode.label,,ko_KR,"Import mode","가져오기 모드",0,"가져오기 모드"
import_export,format.auto,,ko_KR,Auto-detect,"자동 감지",0,"자동 감지"
import_export,format.normalized,,ko_KR,Normalized,정규화,0,정규화
import_export,format.wide,,ko_KR,Wide,와이드,0,와이드
import_export,import.title,,ko_KR,"Import CSV","CSV 가져오기",0,"CSV 가져오기"
import_export,mode.insert_new,,ko_KR,"Insert new only","새로운 항목만 삽입",0,"새로운 항목만 삽입"
import_export,mode.sync,,ko_KR,"Sync locale slice","로케일 슬라이스 동기화",0,"로케일 슬라이스 동기화"
import_export,mode.upsert,,ko_KR,"Upsert existing","기존 항목 업서트",0,"기존 항목 업서트"
import_export,result.deleted,,ko_KR,Deleted,삭제됨,0,삭제됨
import_export,result.detected_locale,,ko_KR,"Detected locale","감지된 로케일",0,"감지된 로케일"
import_export,result.detected_locales,,ko_KR,"Detected locales","감지된 로케일들",0,"감지된 로케일들"
import_export,result.dry_run_summary,,ko_KR,"Dry-run summary for {dataset}.","{dataset}의 시험 실행 요약.",0,"{dataset}의 시험 실행 요약."
import_export,result.error_summary,,ko_KR,"Import finished with errors for {dataset}.","{dataset} 가져오기가 오류와 함께 완료됨.",0,"{dataset} 가져오기가 오류와 함께 완료됨."
import_export,result.format,,ko_KR,Format,형식,0,형식
import_export,result.imported,,ko_KR,Imported,가져옴,0,가져옴
import_export,result.inserted,,ko_KR,Inserted,삽입됨,0,삽입됨
import_export,result.mode,,ko_KR,Mode,모드,0,모드
import_export,result.processed,,ko_KR,Processed,처리됨,0,처리됨
import_export,result.skipped,,ko_KR,Skipped,건너뜀,0,건너뜀
import_export,result.success_summary,,ko_KR,"Import completed successfully for {dataset}.","{dataset} 가져오기가 성공적으로 완료됨.",0,"{dataset} 가져오기가 성공적으로 완료됨."
import_export,result.updated,,ko_KR,Updated,업데이트됨,0,업데이트됨
import_export,workbench.description,,ko_KR,"Export data to CSV or import CSV files into registered datasets.","데이터를 CSV로 내보내거나 등록된 데이터셋에 CSV 파일을 가져옵니다.",0,"데이터를 CSV로 내보내거나 등록된 데이터셋에 CSV 파일을 가져옵니다."
import_export,workbench.no_datasets,,ko_KR,"No import/export datasets are available.","사용 가능한 가져오기/내보내기 데이터셋이 없습니다.",0,"사용 가능한 가져오기/내보내기 데이터셋이 없습니다."
import_export,workbench.title,,ko_KR,"Import / Export","가져오기 / 내보내기",0,"가져오기 / 내보내기"
