domain,key,context,locale,source_text,expected_text,human_reviewed,text
admin,email_outbox.col.created_at,,fr-FR,Created,Created,0,Created
admin,email_outbox.col.id,,fr-FR,ID,ID,0,ID
admin,email_outbox.col.last_error,,fr-FR,"Last error","Last error",0,"Last error"
admin,email_outbox.col.recipients,,fr-FR,Recipients,Recipients,0,Recipients
admin,email_outbox.col.sent_at,,fr-FR,Sent,Sent,0,Sent
admin,email_outbox.col.status,,fr-FR,Status,Statut,0,Statut
admin,email_outbox.col.subject,,fr-FR,Subject,Sujet,0,Sujet
admin,email_outbox.description,,fr-FR,"Read-only transactional email delivery history.","Historique en lecture seule des envois d'emails transactionnels.",0,"Historique en lecture seule des envois d'emails transactionnels."
admin,email_outbox.failures.title,,fr-FR,"Recent dead letters","Échecs récents non livrés",0,"Échecs récents non livrés"
admin,email_outbox.filters.apply,,fr-FR,"Apply filters","Apply filters",0,"Apply filters"
admin,email_outbox.filters.reset,,fr-FR,Reset,Reset,0,Reset
admin,email_outbox.filters.search,,fr-FR,Search,Rechercher,0,Rechercher
admin,email_outbox.filters.search_placeholder,,fr-FR,"Subject, message UID, or recipient email","Objet, UID du message ou email du destinataire",0,"Objet, UID du message ou email du destinataire"
admin,email_outbox.filters.status,,fr-FR,Status,Statut,0,Statut
admin,email_outbox.filters.title,,fr-FR,Filters,Filters,0,Filters
admin,email_outbox.list.title,,fr-FR,"Recent outbox entries","Entrées récentes de la boîte d'envoi",0,"Entrées récentes de la boîte d'envoi"
admin,email_outbox.none,,fr-FR,"No emails match the current filter.","Aucun email ne correspond au filtre actuel.",0,"Aucun email ne correspond au filtre actuel."
admin,email_outbox.pagination.page,,fr-FR,Page,Page,0,Page
admin,email_outbox.status.all,,fr-FR,"All statuses","All statuses",0,"All statuses"
admin,email_outbox.status.failed,,fr-FR,Failed,Failed,0,Failed
admin,email_outbox.status.partial_failed,,fr-FR,"Partial failed","Partial failed",0,"Partial failed"
admin,email_outbox.status.processing,,fr-FR,Processing,Processing,0,Processing
admin,email_outbox.status.queued,,fr-FR,Queued,Queued,0,Queued
admin,email_outbox.status.sent,,fr-FR,Sent,Sent,0,Sent
admin,email_outbox.summary.title,,fr-FR,"Queue summary","Queue summary",0,"Queue summary"
admin,email_outbox.title,,fr-FR,"Email outbox","Boîte d’envoi email",0,"Boîte d’envoi email"
admin,email_queue.dead_letter,,fr-FR,"Dead letter","Dead letter",0,"Dead letter"
admin,email_queue.empty,,fr-FR,"No email jobs are waiting right now.","Aucune tâche email n'est en attente pour le moment.",0,"Aucune tâche email n'est en attente pour le moment."
admin,email_queue.last_processed,,fr-FR,"Last processed","Last processed",0,"Last processed"
admin,email_queue.last_seen,,fr-FR,"Last seen","Last seen",0,"Last seen"
admin,email_queue.open_outbox,,fr-FR,"Open email outbox","Ouvrir la boîte d'envoi email",0,"Ouvrir la boîte d'envoi email"
admin,email_queue.pending,,fr-FR,Pending,Pending,0,Pending
admin,email_queue.retry_wait,,fr-FR,"Retry wait","Retry wait",0,"Retry wait"
admin,email_queue.sent_last_24h,,fr-FR,"Sent in last 24h","Sent in last 24h",0,"Sent in last 24h"
admin,email_queue.status.never_seen,,fr-FR,"Never seen","Never seen",0,"Never seen"
admin,email_queue.status.running,,fr-FR,Running,Running,0,Running
admin,email_queue.status.stale,,fr-FR,Stale,Obsolète,0,Obsolète
admin,email_queue.status.unavailable,,fr-FR,Unavailable,Unavailable,0,Unavailable
admin,email_queue.subtitle,,fr-FR,"Transactional delivery health at a glance.","État de livraison transactionnelle en un coup d'œil.",0,"État de livraison transactionnelle en un coup d'œil."
admin,email_queue.title,,fr-FR,"Email queue","File d’attente email",0,"File d’attente email"
admin,email_queue.worker,,fr-FR,Worker,Worker,0,Worker
admin,i18n.col.domain,,fr-FR,Domain,Domaine,0,Domaine
admin,i18n.col.key,,fr-FR,Key,Clé,0,Clé
admin,i18n.col.reviewed,,fr-FR,Reviewed,Révisé,0,Révisé
admin,i18n.col.source,,fr-FR,Source,Source,0,Source
admin,i18n.col.status,,fr-FR,Status,Statut,0,Statut
admin,i18n.col.translation,,fr-FR,Translation,Traduction,0,Traduction
admin,i18n.coverage.missing,,fr-FR,Missing,Manquant,0,Manquant
admin,i18n.coverage.reviewed,,fr-FR,Reviewed,Révisé,0,Révisé
admin,i18n.coverage.stale,,fr-FR,Stale,Obsolète,0,Obsolète
admin,i18n.coverage.title,,fr-FR,"Translation coverage","Couverture de traduction",0,"Couverture de traduction"
admin,i18n.coverage.translated,,fr-FR,Translated,Traduit,0,Traduit
admin,i18n.domain,,fr-FR,Domain,Domaine,0,Domaine
admin,i18n.locale,,fr-FR,Locale,Langue,0,Langue
admin,i18n.search_placeholder,,fr-FR,"Search source or translation","Rechercher dans la source ou la traduction",0,"Rechercher dans la source ou la traduction"
admin,i18n.status,,fr-FR,Status,Statut,0,Statut
admin,i18n.status.ai_generated,,fr-FR,AI-generated,"Généré par IA",0,"Généré par IA"
admin,i18n.status.approved,,fr-FR,Approved,Approuvé,0,Approuvé
admin,i18n.status.missing,,fr-FR,Missing,Manquant,0,Manquant
admin,i18n.status.needs_review,,fr-FR,"Needs review","À réviser",0,"À réviser"
admin,i18n.status.translated,,fr-FR,Translated,Traduit,0,Traduit
admin,i18n.title,,fr-FR,"Translation workbench","Atelier de traduction",0,"Atelier de traduction"
admin,i18n.tm.exact_match_only,,fr-FR,"Exact-match suggestions only","Suggestions de correspondances exactes uniquement",0,"Suggestions de correspondances exactes uniquement"
admin,i18n.tm.exact_matches,,fr-FR,"Exact matches","Correspondances exactes",0,"Correspondances exactes"
admin,i18n.tm.exact_then_similar,,fr-FR,"Exact matches load first. Similar matches load afterwards.","Les correspondances exactes se chargent en premier. Les correspondances similaires se chargent ensuite.",0,"Les correspondances exactes se chargent en premier. Les correspondances similaires se chargent ensuite."
admin,i18n.tm.no_exact_matches,,fr-FR,"No exact matches","Aucune correspondance exacte",0,"Aucune correspondance exacte"
admin,i18n.tm.no_similar_matches,,fr-FR,"No similar matches","Aucune correspondance similaire",0,"Aucune correspondance similaire"
admin,i18n.tm.origin,,fr-FR,Origin,Origine,0,Origine
admin,i18n.tm.review_placeholders,,fr-FR,"Review placeholders","Vérifier les espaces réservés",0,"Vérifier les espaces réservés"
admin,i18n.tm.safe,,fr-FR,Safe,Sûr,0,Sûr
admin,i18n.tm.similar_matches,,fr-FR,"Similar matches","Correspondances similaires",0,"Correspondances similaires"
admin,i18n.tm.similarity,,fr-FR,Similarity,Similarité,0,Similarité
admin,i18n.tm.source_example,,fr-FR,"Source example","Exemple de source",0,"Exemple de source"
admin,i18n.tm.title,,fr-FR,"Translation memory suggestions","Suggestions de mémoire de traduction",0,"Suggestions de mémoire de traduction"
admin,menu.admin_menu,,fr-FR,"Admin menu","Menu admin",0,"Menu admin"
admin,menu.blog,,fr-FR,Blog,Blog,0,Blog
admin,menu.cli_runner,,fr-FR,"CLI Runner","Exécuteur CLI",0,"Exécuteur CLI"
admin,menu.custom_menu,,fr-FR,"Custom menu","Menu personnalisé",0,"Menu personnalisé"
admin,menu.email_outbox,,fr-FR,"Email outbox","Boîte d’envoi email",0,"Boîte d’envoi email"
admin,menu.home,,fr-FR,"Admin home","Accueil admin",0,"Accueil admin"
admin,menu.import_export,,fr-FR,"Import / Export","Importation / Exportation",0,"Importation / Exportation"
admin,menu.locales,,fr-FR,Locales,Locales,0,Locales
admin,menu.mcp_tokens,,fr-FR,"MCP tokens","Jetons MCP",0,"Jetons MCP"
admin,menu.phpinfo,,fr-FR,PHPinfo,"Informations PHP",0,"Informations PHP"
admin,menu.resource_tree,,fr-FR,"Website structure","Structure du site web",0,"Structure du site web"
admin,menu.roles,,fr-FR,Roles,Rôles,0,Rôles
admin,menu.runtime_diagnostics,,fr-FR,"Runtime diagnostics","Diagnostics d’exécution",0,"Diagnostics d’exécution"
admin,menu.section.administration,,fr-FR,Administration,Administration,0,Administration
admin,menu.section.configuration,,fr-FR,Configuration,Configuration,0,Configuration
admin,menu.section.content,,fr-FR,Content,Contenu,0,Contenu
admin,menu.section.developer_tools,,fr-FR,"Developer tools","Outils développeur",0,"Outils développeur"
admin,menu.template_engines,,fr-FR,"Template engines","Moteurs de modèles",0,"Moteurs de modèles"
admin,menu.theme_selector,,fr-FR,"Theme selection","Sélection du thème",0,"Sélection du thème"
admin,menu.translations,,fr-FR,Translations,Traductions,0,Traductions
admin,menu.usergroups,,fr-FR,"User groups","Groupes d'utilisateurs",0,"Groupes d'utilisateurs"
admin,menu.widget_preview,,fr-FR,"Widget preview","Aperçu du widget",0,"Aperçu du widget"
cms,admin_dropdown.edit_mode,,fr-FR,"Edit mode","Mode édition",0,"Mode édition"
cms,admin_dropdown.edit_mode_off,,fr-FR,off,désactivé,0,désactivé
cms,admin_dropdown.edit_mode_on,,fr-FR,on,activé,0,activé
cms,admin_dropdown.seo,,fr-FR,SEO,SEO,0,SEO
cms,admin_dropdown.turn_edit_mode_off,,fr-FR,"Turn edit mode off","Désactiver le mode édition",0,"Désactiver le mode édition"
cms,admin_dropdown.turn_edit_mode_on,,fr-FR,"Turn edit mode on","Activer le mode édition",0,"Activer le mode édition"
cms,admin_menu.form.name,,fr-FR,"Admin menu administration","Administration du menu admin",0,"Administration du menu admin"
cms,admin_menu.form.title_create,,fr-FR,"Create admin menu item","Créer un élément de menu admin",0,"Créer un élément de menu admin"
cms,admin_menu.form.title_edit,,fr-FR,"Edit admin menu item","Modifier l'élément du menu admin",0,"Modifier l'élément du menu admin"
cms,edit,,fr-FR,Edit,Modifier,0,Modifier
cms,edit_mode.disabled,,fr-FR,"Edit mode disabled","Mode édition désactivé",0,"Mode édition désactivé"
cms,edit_mode.enabled,,fr-FR,"Edit mode enabled","Mode édition activé",0,"Mode édition activé"
cms,edit_mode.save_error,,fr-FR,"Error: Unable to save configuration","Erreur : Impossible d'enregistrer la configuration",0,"Erreur : Impossible d'enregistrer la configuration"
cms,error.login_page_missing,,fr-FR,"Login page not found - create it manually","Page de connexion introuvable - créez-la manuellement",0,"Page de connexion introuvable - créez-la manuellement"
cms,file.missing_ref_id,,fr-FR,"Missing file reference","Référence de fichier manquante",0,"Référence de fichier manquante"
cms,file.upload_error,,fr-FR,"Error: File upload failed","Erreur : Échec du téléversement du fichier",0,"Erreur : Échec du téléversement du fichier"
cms,file.uploaded,,fr-FR,"File uploaded","Fichier téléversé",0,"Fichier téléversé"
cms,file_upload.destination_path,,fr-FR,"Destination path","Chemin de destination",0,"Chemin de destination"
cms,file_upload.unknown_destination,,fr-FR,"Unknown destination path","Chemin de destination inconnu",0,"Chemin de destination inconnu"
cms,form.field.form_id.explanation,,fr-FR,"Select from the predefined forms","Sélectionner parmi les formulaires prédéfinis",0,"Sélectionner parmi les formulaires prédéfinis"
cms,form.field.form_id.label,,fr-FR,Form,Formulaire,0,Formulaire
cms,form.missing_widget_id,,fr-FR,"Widget ID is missing","L'ID du widget est manquant",0,"L'ID du widget est manquant"
cms,form.no_form_page_warning,,fr-FR,"Create at least one page with a blank form","Créer au moins une page avec un formulaire vide",0,"Créer au moins une page avec un formulaire vide"
cms,form.no_id,,fr-FR,"No form ID given","Aucun ID de formulaire fourni",0,"Aucun ID de formulaire fourni"
cms,form.settings_subtitle,,fr-FR,"Page: {page}","Page : {page}",0,"Page : {page}"
cms,library.folder,,fr-FR,Folder,Dossier,0,Dossier
cms,library.resource,,fr-FR,Resource,Ressource,0,Ressource
cms,library.unknown,,fr-FR,"Unknown library","Bibliothèque inconnue",0,"Bibliothèque inconnue"
cms,menu.delete_confirm,,fr-FR,"Are you sure you want to delete this menu item?","Êtes-vous sûr de vouloir supprimer cet élément de menu ?",0,"Êtes-vous sûr de vouloir supprimer cet élément de menu ?"
cms,menu.delete_failed,,fr-FR,"Delete failed","Échec de la suppression",0,"Échec de la suppression"
cms,menu.delete_forbidden,,fr-FR,"Menu item deletion is not allowed: {name}","La suppression de l'élément de menu n'est pas autorisée : {name}",0,"La suppression de l'élément de menu n'est pas autorisée : {name}"
cms,menu.delete_unknown_error,,fr-FR,"Error: An unknown error occurred while deleting the menu item","Erreur : Une erreur inconnue s'est produite lors de la suppression de l'élément de menu",0,"Erreur : Une erreur inconnue s'est produite lors de la suppression de l'élément de menu"
cms,menu.deleted,,fr-FR,"Menu item deleted: {name}","Élément de menu supprimé : {name}",0,"Élément de menu supprimé : {name}"
cms,menu.external_link,,fr-FR,"External link","Lien externe",0,"Lien externe"
cms,menu.field.node_name.label,,fr-FR,"Display text","Texte affiché",0,"Texte affiché"
cms,menu.field.page.explanation,,fr-FR,"Select the page this menu item points to","Sélectionner la page vers laquelle pointe cet élément de menu",0,"Sélectionner la page vers laquelle pointe cet élément de menu"
