domain,key,context,locale,source_text,expected_text,human_reviewed,text
cli_runner,title,,ko_KR,"CLI Command Runner","CLI 명령 실행기",0,"CLI 명령 실행기"
cli_runner,subtitle,,ko_KR,"Execute Radaptor CLI commands from the browser.","브라우저에서 Radaptor CLI 명령을 실행합니다.",0,"브라우저에서 Radaptor CLI 명령을 실행합니다."
cli_runner,select_command,,ko_KR,"Select a command from the list to get started.","시작하려면 목록에서 명령을 선택하세요.",0,"시작하려면 목록에서 명령을 선택하세요."
cli_runner,action.run,,ko_KR,Run,실행,0,실행
cli_runner,action.confirm,,ko_KR,"Confirm & Run","확인 후 실행",0,"확인 후 실행"
cli_runner,action.clear,,ko_KR,Clear,지우기,0,지우기
cli_runner,confirm.title,,ko_KR,"Confirm Command","명령 확인",0,"명령 확인"
cli_runner,confirm.message,,ko_KR,"This command will modify data or system state. Are you sure?","이 명령은 데이터 또는 시스템 상태를 변경합니다. 계속하시겠습니까?",0,"이 명령은 데이터 또는 시스템 상태를 변경합니다. 계속하시겠습니까?"
cli_runner,output.title,,ko_KR,Output,출력,0,출력
cli_runner,output.empty,,ko_KR,"No output","출력 없음",0,"출력 없음"
cli_runner,output.running,,ko_KR,"Running command...","명령 실행 중...",0,"명령 실행 중..."
cli_runner,output.completed,,ko_KR,"Completed in {duration}ms","{duration}ms 만에 완료",0,"{duration}ms 만에 완료"
cli_runner,output.failed,,ko_KR,"Command failed (exit code {code})","명령 실패 (종료 코드 {code})",0,"명령 실패 (종료 코드 {code})"
cli_runner,output.timeout,,ko_KR,"Command timed out","명령 시간 초과",0,"명령 시간 초과"
cli_runner,category.build,,ko_KR,Build,빌드,0,빌드
cli_runner,category.db,,ko_KR,Database,데이터베이스,0,데이터베이스
cli_runner,category.emailqueue,,ko_KR,"Email Queue","이메일 큐",0,"이메일 큐"
cli_runner,category.form,,ko_KR,Forms,폼,0,폼
cli_runner,category.i18n,,ko_KR,Translations,번역,0,번역
cli_runner,category.migrate,,ko_KR,Migrations,마이그레이션,0,마이그레이션
cli_runner,category.plugin,,ko_KR,Plugins,플러그인,0,플러그인
cli_runner,category.role,,ko_KR,Roles,역할,0,역할
cli_runner,category.site,,ko_KR,Site,사이트,0,사이트
cli_runner,category.user,,ko_KR,Users,사용자,0,사용자
cli_runner,category.userconfig,,ko_KR,"User Config","사용자 설정",0,"사용자 설정"
cli_runner,category.usergroup,,ko_KR,"User Groups","사용자 그룹",0,"사용자 그룹"
cli_runner,category.webpage,,ko_KR,Webpages,웹페이지,0,웹페이지
cli_runner,category.widget,,ko_KR,Widgets,위젯,0,위젯
