domain,key,context,locale,source_text,expected_text,human_reviewed,allow_source_match,text
mailpit,title,,ja-JP,Mailpit,Mailpit,0,1,Mailpit
mailpit,subtitle,,ja-JP,"Captured development emails",キャプチャされた開発メール,0,0,キャプチャされた開発メール
mailpit,inbox,,ja-JP,Inbox,受信箱,0,0,受信箱
mailpit,search,,ja-JP,Search,検索,0,0,検索
mailpit,refresh,,ja-JP,Refresh,更新,0,0,更新
mailpit,back_to_inbox,,ja-JP,"Back to inbox",受信箱に戻る,0,0,受信箱に戻る
mailpit,messages,,ja-JP,Messages,メッセージ,0,0,メッセージ
mailpit,unread,,ja-JP,Unread,未読,0,0,未読
mailpit,empty,,ja-JP,"No captured emails found.",キャプチャされたメールはありません。,0,0,キャプチャされたメールはありません。
mailpit,unavailable,,ja-JP,"Mailpit is unavailable",Mailpitは利用できません,0,0,Mailpitは利用できません
mailpit,not_found,,ja-JP,"Mailpit view not found",Mailpitビューが見つかりません,0,0,Mailpitビューが見つかりません
mailpit,access_denied,,ja-JP,"Mailpit catcher is only available in non-production for email admins and system developers.",Mailpitキャッチャーは、本番以外でメール管理者とシステム開発者のみ利用できます。,0,0,Mailpitキャッチャーは、本番以外でメール管理者とシステム開発者のみ利用できます。
mailpit,page_not_resolved,,ja-JP,"Mailpit catcher page could not be resolved.",Mailpitキャッチャーページを解決できませんでした。,0,0,Mailpitキャッチャーページを解決できませんでした。
mailpit,col.subject,,ja-JP,Subject,件名,0,0,件名
mailpit,col.from,,ja-JP,From,差出人,0,0,差出人
mailpit,col.to,,ja-JP,To,宛先,0,0,宛先
mailpit,col.received,,ja-JP,Received,受信日時,0,0,受信日時
mailpit,col.size,,ja-JP,Size,サイズ,0,0,サイズ
mailpit,pagination.previous,,ja-JP,Previous,前へ,0,0,前へ
mailpit,pagination.next,,ja-JP,Next,次へ,0,0,次へ
mailpit,no_subject,,ja-JP,"(no subject)",（件名なし）,0,0,（件名なし）
mailpit,delete,,ja-JP,Delete,削除,0,0,削除
mailpit,meta.from,,ja-JP,From,差出人,0,0,差出人
mailpit,meta.to,,ja-JP,To,宛先,0,0,宛先
mailpit,meta.cc,,ja-JP,Cc,Cc,0,1,Cc
mailpit,meta.bcc,,ja-JP,Bcc,Bcc,0,1,Bcc
mailpit,meta.date,,ja-JP,Date,日付,0,0,日付
mailpit,meta.size,,ja-JP,Size,サイズ,0,0,サイズ
mailpit,html_empty,,ja-JP,"This message has no HTML body.",このメッセージにはHTML本文がありません。,0,0,このメッセージにはHTML本文がありません。
mailpit,html_preview_title,,ja-JP,"Mailpit HTML preview","Mailpit HTMLプレビュー",0,0,"Mailpit HTMLプレビュー"
mailpit,check.supported,,ja-JP,Supported,対応,0,0,対応
mailpit,check.partial,,ja-JP,Partial,部分対応,0,0,部分対応
mailpit,check.unsupported,,ja-JP,Unsupported,非対応,0,0,非対応
mailpit,check.tests,,ja-JP,Tests,テスト,0,0,テスト
mailpit,check.no_warnings,,ja-JP,"No HTML compatibility warnings.",HTML互換性の警告はありません。,0,0,HTML互換性の警告はありません。
mailpit,warning_fallback,,ja-JP,Warning,警告,0,0,警告
mailpit,links.status,,ja-JP,Status,ステータス,0,0,ステータス
mailpit,links.none,,ja-JP,"No links found.",リンクが見つかりません。,0,0,リンクが見つかりません。
mailpit,attachments,,ja-JP,Attachments,添付ファイル,0,0,添付ファイル
mailpit,inline_attachments,,ja-JP,"Inline attachments",インライン添付,0,0,インライン添付
mailpit,attachment_fallback,,ja-JP,attachment,添付ファイル,0,0,添付ファイル
mailpit,tab_error,,ja-JP,"Mailpit tab content could not be loaded.",Mailpitタブの内容を読み込めませんでした。,0,0,Mailpitタブの内容を読み込めませんでした。
mailpit,tab.html,,ja-JP,HTML,HTML,0,1,HTML
mailpit,tab.html_source,,ja-JP,"HTML Source",HTMLソース,0,0,HTMLソース
mailpit,tab.text,,ja-JP,Text,テキスト,0,0,テキスト
mailpit,tab.headers,,ja-JP,Headers,ヘッダー,0,0,ヘッダー
mailpit,tab.raw,,ja-JP,Raw,Raw,0,1,Raw
mailpit,tab.html_check,,ja-JP,"HTML Check",HTMLチェック,0,0,HTMLチェック
mailpit,tab.link_check,,ja-JP,"Link Check",リンクチェック,0,0,リンクチェック
widget,mailpit.name,,ja-JP,"Mailpit catcher",Mailpitキャッチャー,0,0,Mailpitキャッチャー
widget,mailpit.description,,ja-JP,"Shows captured Mailpit emails inside the admin UI.",管理UI内にMailpitでキャプチャしたメールを表示します。,0,0,管理UI内にMailpitでキャプチャしたメールを表示します。
