domain,key,context,locale,source_text,expected_text,human_reviewed,text
admin,email_outbox.col.created_at,,es-ES,Created,Created,0,Created
admin,email_outbox.col.id,,es-ES,ID,ID,0,ID
admin,email_outbox.col.last_error,,es-ES,"Last error","Last error",0,"Last error"
admin,email_outbox.col.recipients,,es-ES,Recipients,Recipients,0,Recipients
admin,email_outbox.col.sent_at,,es-ES,Sent,Sent,0,Sent
admin,email_outbox.col.status,,es-ES,Status,Estado,0,Estado
admin,email_outbox.col.subject,,es-ES,Subject,Asunto,0,Asunto
admin,email_outbox.description,,es-ES,"Read-only transactional email delivery history.","Historial de entrega de emails transaccionales de solo lectura.",0,"Historial de entrega de emails transaccionales de solo lectura."
admin,email_outbox.failures.title,,es-ES,"Recent dead letters","Fallos recientes sin entregar",0,"Fallos recientes sin entregar"
admin,email_outbox.filters.apply,,es-ES,"Apply filters","Apply filters",0,"Apply filters"
admin,email_outbox.filters.reset,,es-ES,Reset,Reset,0,Reset
admin,email_outbox.filters.search,,es-ES,Search,Buscar,0,Buscar
admin,email_outbox.filters.search_placeholder,,es-ES,"Subject, message UID, or recipient email","Asunto, UID del mensaje o email del destinatario",0,"Asunto, UID del mensaje o email del destinatario"
admin,email_outbox.filters.status,,es-ES,Status,Estado,0,Estado
admin,email_outbox.filters.title,,es-ES,Filters,Filters,0,Filters
admin,email_outbox.list.title,,es-ES,"Recent outbox entries","Entradas recientes de la bandeja de salida",0,"Entradas recientes de la bandeja de salida"
admin,email_outbox.none,,es-ES,"No emails match the current filter.","Ningún email coincide con el filtro actual.",0,"Ningún email coincide con el filtro actual."
admin,email_outbox.pagination.page,,es-ES,Page,Página,0,Página
admin,email_outbox.status.all,,es-ES,"All statuses","All statuses",0,"All statuses"
admin,email_outbox.status.failed,,es-ES,Failed,Failed,0,Failed
admin,email_outbox.status.partial_failed,,es-ES,"Partial failed","Partial failed",0,"Partial failed"
admin,email_outbox.status.processing,,es-ES,Processing,Processing,0,Processing
admin,email_outbox.status.queued,,es-ES,Queued,Queued,0,Queued
admin,email_outbox.status.sent,,es-ES,Sent,Sent,0,Sent
admin,email_outbox.summary.title,,es-ES,"Queue summary","Queue summary",0,"Queue summary"
admin,email_outbox.title,,es-ES,"Email outbox","Bandeja de salida de email",0,"Bandeja de salida de email"
admin,email_queue.dead_letter,,es-ES,"Dead letter","Dead letter",0,"Dead letter"
admin,email_queue.empty,,es-ES,"No email jobs are waiting right now.","No hay trabajos de email esperando ahora.",0,"No hay trabajos de email esperando ahora."
admin,email_queue.last_processed,,es-ES,"Last processed","Last processed",0,"Last processed"
admin,email_queue.last_seen,,es-ES,"Last seen","Last seen",0,"Last seen"
admin,email_queue.open_outbox,,es-ES,"Open email outbox","Abrir bandeja de salida de email",0,"Abrir bandeja de salida de email"
admin,email_queue.pending,,es-ES,Pending,Pending,0,Pending
admin,email_queue.retry_wait,,es-ES,"Retry wait","Retry wait",0,"Retry wait"
admin,email_queue.sent_last_24h,,es-ES,"Sent in last 24h","Sent in last 24h",0,"Sent in last 24h"
admin,email_queue.status.never_seen,,es-ES,"Never seen","Never seen",0,"Never seen"
admin,email_queue.status.running,,es-ES,Running,Running,0,Running
admin,email_queue.status.stale,,es-ES,Stale,Obsoleto,0,Obsoleto
admin,email_queue.status.unavailable,,es-ES,Unavailable,Unavailable,0,Unavailable
admin,email_queue.subtitle,,es-ES,"Transactional delivery health at a glance.","Estado de la entrega transaccional de un vistazo.",0,"Estado de la entrega transaccional de un vistazo."
admin,email_queue.title,,es-ES,"Email queue","Cola de email",0,"Cola de email"
admin,email_queue.worker,,es-ES,Worker,Worker,0,Worker
admin,i18n.col.domain,,es-ES,Domain,Dominio,0,Dominio
admin,i18n.col.key,,es-ES,Key,Clave,0,Clave
admin,i18n.col.reviewed,,es-ES,Reviewed,Revisado,0,Revisado
admin,i18n.col.source,,es-ES,Source,Fuente,0,Fuente
admin,i18n.col.status,,es-ES,Status,Estado,0,Estado
admin,i18n.col.translation,,es-ES,Translation,Traducción,0,Traducción
admin,i18n.coverage.missing,,es-ES,Missing,Faltante,0,Faltante
admin,i18n.coverage.reviewed,,es-ES,Reviewed,Revisado,0,Revisado
admin,i18n.coverage.stale,,es-ES,Stale,Obsoleto,0,Obsoleto
admin,i18n.coverage.title,,es-ES,"Translation coverage","Cobertura de traducción",0,"Cobertura de traducción"
admin,i18n.coverage.translated,,es-ES,Translated,Traducido,0,Traducido
admin,i18n.domain,,es-ES,Domain,Dominio,0,Dominio
admin,i18n.locale,,es-ES,Locale,Idioma,0,Idioma
admin,i18n.search_placeholder,,es-ES,"Search source or translation","Buscar en fuente o traducción",0,"Buscar en fuente o traducción"
admin,i18n.status,,es-ES,Status,Estado,0,Estado
admin,i18n.status.ai_generated,,es-ES,AI-generated,"Generado por IA",0,"Generado por IA"
admin,i18n.status.approved,,es-ES,Approved,Aprobado,0,Aprobado
admin,i18n.status.missing,,es-ES,Missing,Faltante,0,Faltante
admin,i18n.status.needs_review,,es-ES,"Needs review","Necesita revisión",0,"Necesita revisión"
admin,i18n.status.translated,,es-ES,Translated,Traducido,0,Traducido
admin,i18n.title,,es-ES,"Translation workbench","Banco de trabajo de traducción",0,"Banco de trabajo de traducción"
admin,i18n.tm.exact_match_only,,es-ES,"Exact-match suggestions only","Solo sugerencias de coincidencia exacta",0,"Solo sugerencias de coincidencia exacta"
admin,i18n.tm.exact_matches,,es-ES,"Exact matches","Coincidencias exactas",0,"Coincidencias exactas"
admin,i18n.tm.exact_then_similar,,es-ES,"Exact matches load first. Similar matches load afterwards.","Las coincidencias exactas se cargan primero. Las coincidencias similares se cargan después.",0,"Las coincidencias exactas se cargan primero. Las coincidencias similares se cargan después."
admin,i18n.tm.no_exact_matches,,es-ES,"No exact matches","Sin coincidencias exactas",0,"Sin coincidencias exactas"
admin,i18n.tm.no_similar_matches,,es-ES,"No similar matches","Sin coincidencias similares",0,"Sin coincidencias similares"
admin,i18n.tm.origin,,es-ES,Origin,Origen,0,Origen
admin,i18n.tm.review_placeholders,,es-ES,"Review placeholders","Revisar marcadores de posición",0,"Revisar marcadores de posición"
admin,i18n.tm.safe,,es-ES,Safe,Seguro,0,Seguro
admin,i18n.tm.similar_matches,,es-ES,"Similar matches","Coincidencias similares",0,"Coincidencias similares"
admin,i18n.tm.similarity,,es-ES,Similarity,Similitud,0,Similitud
admin,i18n.tm.source_example,,es-ES,"Source example","Ejemplo de fuente",0,"Ejemplo de fuente"
admin,i18n.tm.title,,es-ES,"Translation memory suggestions","Sugerencias de memoria de traducción",0,"Sugerencias de memoria de traducción"
admin,menu.admin_menu,,es-ES,"Admin menu","Menú de administración",0,"Menú de administración"
admin,menu.blog,,es-ES,Blog,Blog,0,Blog
admin,menu.cli_runner,,es-ES,"CLI Runner","Ejecutor CLI",0,"Ejecutor CLI"
admin,menu.custom_menu,,es-ES,"Custom menu","Menú personalizado",0,"Menú personalizado"
admin,menu.email_outbox,,es-ES,"Email outbox","Bandeja de salida de email",0,"Bandeja de salida de email"
admin,menu.home,,es-ES,"Admin home","Inicio de administración",0,"Inicio de administración"
admin,menu.import_export,,es-ES,"Import / Export","Importar / Exportar",0,"Importar / Exportar"
admin,menu.mcp_tokens,,es-ES,"MCP tokens","Tokens MCP",0,"Tokens MCP"
admin,menu.phpinfo,,es-ES,PHPinfo,"Información de PHP",0,"Información de PHP"
admin,menu.resource_tree,,es-ES,"Website structure","Estructura del sitio web",0,"Estructura del sitio web"
admin,menu.roles,,es-ES,Roles,Roles,0,Roles
admin,menu.runtime_diagnostics,,es-ES,"Runtime diagnostics","Diagnóstico de ejecución",0,"Diagnóstico de ejecución"
admin,menu.section.administration,,es-ES,Administration,Administración,0,Administración
admin,menu.section.configuration,,es-ES,Configuration,Configuración,0,Configuración
admin,menu.section.content,,es-ES,Content,Contenido,0,Contenido
admin,menu.section.developer_tools,,es-ES,"Developer tools","Herramientas para desarrolladores",0,"Herramientas para desarrolladores"
admin,menu.template_engines,,es-ES,"Template engines","Motores de plantillas",0,"Motores de plantillas"
admin,menu.theme_selector,,es-ES,"Theme selection","Selección de tema",0,"Selección de tema"
admin,menu.translations,,es-ES,Translations,Traducciones,0,Traducciones
admin,menu.usergroups,,es-ES,"User groups","Grupos de usuarios",0,"Grupos de usuarios"
admin,menu.widget_preview,,es-ES,"Widget preview","Vista previa del widget",0,"Vista previa del widget"
cms,admin_dropdown.edit_mode,,es-ES,"Edit mode","Modo de edición",0,"Modo de edición"
cms,admin_dropdown.edit_mode_off,,es-ES,off,desactivado,0,desactivado
cms,admin_dropdown.edit_mode_on,,es-ES,on,activado,0,activado
cms,admin_dropdown.seo,,es-ES,SEO,SEO,0,SEO
cms,admin_dropdown.turn_edit_mode_off,,es-ES,"Turn edit mode off","Desactivar modo de edición",0,"Desactivar modo de edición"
cms,admin_dropdown.turn_edit_mode_on,,es-ES,"Turn edit mode on","Activar modo de edición",0,"Activar modo de edición"
cms,admin_menu.form.name,,es-ES,"Admin menu administration","Administración del menú de administración",0,"Administración del menú de administración"
cms,admin_menu.form.title_create,,es-ES,"Create admin menu item","Crear elemento del menú de administración",0,"Crear elemento del menú de administración"
cms,admin_menu.form.title_edit,,es-ES,"Edit admin menu item","Editar elemento del menú de administración",0,"Editar elemento del menú de administración"
cms,edit,,es-ES,Edit,Editar,0,Editar
cms,edit_mode.disabled,,es-ES,"Edit mode disabled","Modo de edición desactivado",0,"Modo de edición desactivado"
cms,edit_mode.enabled,,es-ES,"Edit mode enabled","Modo de edición activado",0,"Modo de edición activado"
cms,edit_mode.save_error,,es-ES,"Error: Unable to save configuration","Error: No se puede guardar la configuración",0,"Error: No se puede guardar la configuración"
cms,error.login_page_missing,,es-ES,"Login page not found - create it manually","Página de inicio de sesión no encontrada - créela manualmente",0,"Página de inicio de sesión no encontrada - créela manualmente"
cms,file.missing_ref_id,,es-ES,"Missing file reference","Referencia de archivo faltante",0,"Referencia de archivo faltante"
cms,file.upload_error,,es-ES,"Error: File upload failed","Error: El archivo no se pudo subir",0,"Error: El archivo no se pudo subir"
cms,file.uploaded,,es-ES,"File uploaded","Archivo subido",0,"Archivo subido"
cms,file_upload.destination_path,,es-ES,"Destination path","Ruta de destino",0,"Ruta de destino"
cms,file_upload.unknown_destination,,es-ES,"Unknown destination path","Ruta de destino desconocida",0,"Ruta de destino desconocida"
cms,form.field.form_id.explanation,,es-ES,"Select from the predefined forms","Seleccionar de los formularios predefinidos",0,"Seleccionar de los formularios predefinidos"
cms,form.field.form_id.label,,es-ES,Form,Formulario,0,Formulario
cms,form.missing_widget_id,,es-ES,"Widget ID is missing","Falta el ID del widget",0,"Falta el ID del widget"
cms,form.no_form_page_warning,,es-ES,"Create at least one page with a blank form","Crear al menos una página con un formulario en blanco",0,"Crear al menos una página con un formulario en blanco"
cms,form.no_id,,es-ES,"No form ID given","No se proporcionó ID de formulario",0,"No se proporcionó ID de formulario"
cms,form.settings_subtitle,,es-ES,"Page: {page}","Página: {page}",0,"Página: {page}"
cms,library.folder,,es-ES,Folder,Carpeta,0,Carpeta
cms,library.resource,,es-ES,Resource,Recurso,0,Recurso
cms,library.unknown,,es-ES,"Unknown library","Biblioteca desconocida",0,"Biblioteca desconocida"
cms,menu.delete_confirm,,es-ES,"Are you sure you want to delete this menu item?","¿Está seguro de que desea eliminar este elemento del menú?",0,"¿Está seguro de que desea eliminar este elemento del menú?"
cms,menu.delete_failed,,es-ES,"Delete failed","Error al eliminar",0,"Error al eliminar"
cms,menu.delete_forbidden,,es-ES,"Menu item deletion is not allowed: {name}","No se permite eliminar el elemento de menú: {name}",0,"No se permite eliminar el elemento de menú: {name}"
cms,menu.delete_unknown_error,,es-ES,"Error: An unknown error occurred while deleting the menu item","Error: Se produjo un error desconocido al eliminar el elemento del menú",0,"Error: Se produjo un error desconocido al eliminar el elemento del menú"
cms,menu.deleted,,es-ES,"Menu item deleted: {name}","Elemento de menú eliminado: {name}",0,"Elemento de menú eliminado: {name}"
cms,menu.external_link,,es-ES,"External link","Enlace externo",0,"Enlace externo"
cms,menu.field.node_name.label,,es-ES,"Display text","Texto de visualización",0,"Texto de visualización"
cms,menu.field.page.explanation,,es-ES,"Select the page this menu item points to","Seleccione la página a la que apunta este elemento de menú",0,"Seleccione la página a la que apunta este elemento de menú"
cms,menu.field.page.label,,es-ES,Page,Página,0,Página
cms,menu.field.type.external,,es-ES,"Points to external page","Apunta a una página externa",0,"Apunta a una página externa"
cms,menu.field.type.internal,,es-ES,"Points to internal page","Apunta a una página interna",0,"Apunta a una página interna"
cms,menu.field.type.label,,es-ES,"Link type","Tipo de enlace",0,"Tipo de enlace"
cms,menu.field.url.explanation,,es-ES,"You can enter a custom URL (including mailto:// links)","Puede introducir una URL personalizada (incluyendo enlaces mailto://)",0,"Puede introducir una URL personalizada (incluyendo enlaces mailto://)"
cms,menu.field.url.label,,es-ES,"Custom URL","URL personalizada",0,"URL personalizada"
cms,menu.form.name,,es-ES,"Main menu item","Elemento del menú principal",0,"Elemento del menú principal"
cms,menu.form.title_create,,es-ES,"Create menu item","Crear elemento de menú",0,"Crear elemento de menú"
cms,menu.form.title_edit,,es-ES,"Edit menu item","Editar elemento de menú",0,"Editar elemento de menú"
cms,menu.internal_link,,es-ES,"Internal link","Enlace interno",0,"Enlace interno"
cms,menu.move_error,,es-ES,"Error: Unable to move menu item","Error: No se puede mover el elemento del menú",0,"Error: No se puede mover el elemento del menú"
cms,menu.move_success,,es-ES,"Menu item moved: {name}","Elemento de menú movido: {name}",0,"Elemento de menú movido: {name}"
cms,menu.new_child,,es-ES,"New submenu item","Nuevo elemento de submenú",0,"Nuevo elemento de submenú"
