domain,key,context,locale,source_text,expected_text,human_reviewed,text
import_export,action.export_csv,,es_ES,"Export CSV","Exportar CSV",0,"Exportar CSV"
import_export,action.preview_import,,es_ES,"Preview import","Vista previa de importación",0,"Vista previa de importación"
import_export,action.run_import,,es_ES,"Run import","Ejecutar importación",0,"Ejecutar importación"
import_export,dataset.i18n_translations.description,,es_ES,"Export and import translation rows as CSV.","Exportar e importar filas de traducción como CSV.",0,"Exportar e importar filas de traducción como CSV."
import_export,dataset.i18n_translations.name,,es_ES,"I18n translations","Traducciones i18n",0,"Traducciones i18n"
import_export,error.dataset_not_found,,es_ES,"Import/export dataset not found.","Conjunto de datos de importación/exportación no encontrado.",0,"Conjunto de datos de importación/exportación no encontrado."
import_export,error.file_read,,es_ES,"Unable to read the uploaded CSV file.","No se puede leer el archivo CSV subido.",0,"No se puede leer el archivo CSV subido."
import_export,error.file_required,,es_ES,"Please select a CSV file to import.","Seleccione un archivo CSV para importar.",0,"Seleccione un archivo CSV para importar."
import_export,error.invalid_format,,es_ES,"Invalid format","Formato no válido",0,"Formato no válido"
import_export,error.invalid_mode,,es_ES,"Invalid import mode.","Modo de importación no válido.",0,"Modo de importación no válido."
import_export,error.locale_required,,es_ES,"Locale is required for export.","El idioma es obligatorio para la exportación.",0,"El idioma es obligatorio para la exportación."
import_export,export.title,,es_ES,"Export CSV","Exportar CSV",0,"Exportar CSV"
import_export,field.dataset.label,,es_ES,Dataset,"Conjunto de datos",0,"Conjunto de datos"
import_export,field.expect_locale.any,,es_ES,"Any locale in file","Cualquier idioma en el archivo",0,"Cualquier idioma en el archivo"
import_export,field.expect_locale.help,,es_ES,"Optional for insert_new and upsert. Sync should normally set this explicitly and always uses a single-locale scope, even when importing wide CSV.","Opcional para insert_new y upsert. Sync normalmente debe establecer esto explícitamente y siempre usa un ámbito de idioma único, incluso al importar CSV amplio.",0,"Opcional para insert_new y upsert. Sync normalmente debe establecer esto explícitamente y siempre usa un ámbito de idioma único, incluso al importar CSV amplio."
import_export,field.expect_locale.label,,es_ES,"Expected locale","Idioma esperado",0,"Idioma esperado"
import_export,field.file.help,,es_ES,"Upload a CSV file exported from the same dataset.","Suba un archivo CSV exportado del mismo conjunto de datos.",0,"Suba un archivo CSV exportado del mismo conjunto de datos."
import_export,field.file.label,,es_ES,"CSV file","Archivo CSV",0,"Archivo CSV"
import_export,field.format.help,,es_ES,"Normalized keeps one row per locale. Wide groups locales into text:<locale> columns.","Normalizado mantiene una fila por idioma. Amplio agrupa idiomas en columnas text:<locale>.",0,"Normalizado mantiene una fila por idioma. Amplio agrupa idiomas en columnas text:<locale>."
import_export,field.format.label,,es_ES,Format,Formato,0,Formato
import_export,field.locale.all,,es_ES,"All locales","Todos los idiomas",0,"Todos los idiomas"
import_export,field.locale.help,,es_ES,"Leave empty to export all locales, or choose one locale for a smaller file. Wide format puts locale values into text:<locale> columns.","Déjelo vacío para exportar todos los idiomas, o elija un idioma para un archivo más pequeño. El formato amplio coloca los valores de idioma en columnas text:<locale>.",0,"Déjelo vacío para exportar todos los idiomas, o elija un idioma para un archivo más pequeño. El formato amplio coloca los valores de idioma en columnas text:<locale>."
import_export,field.locale.label,,es_ES,Locale,Idioma,0,Idioma
import_export,field.mode.help,,es_ES,"Sync is destructive: it deletes rows missing from the imported locale slice and only supports single-locale files.","La sincronización es destructiva: elimina las filas que faltan en la porción de idioma importada y solo admite archivos de idioma único.",0,"La sincronización es destructiva: elimina las filas que faltan en la porción de idioma importada y solo admite archivos de idioma único."
import_export,field.mode.label,,es_ES,"Import mode","Modo de importación",0,"Modo de importación"
import_export,format.auto,,es_ES,Auto-detect,"Detección automática",0,"Detección automática"
import_export,format.normalized,,es_ES,Normalized,Normalizado,0,Normalizado
import_export,format.wide,,es_ES,Wide,Amplio,0,Amplio
import_export,import.title,,es_ES,"Import CSV","Importar CSV",0,"Importar CSV"
import_export,mode.insert_new,,es_ES,"Insert new only","Insertar solo nuevos",0,"Insertar solo nuevos"
import_export,mode.sync,,es_ES,"Sync locale slice","Sincronizar porción de idioma",0,"Sincronizar porción de idioma"
