domain,key,context,locale,source_text,expected_text,human_reviewed,text
admin,i18n.col.domain,,fr_FR,Domain,Domaine,0,Domaine
admin,i18n.col.key,,fr_FR,Key,Clé,0,Clé
admin,i18n.col.reviewed,,fr_FR,Reviewed,Révisé,0,Révisé
admin,i18n.col.source,,fr_FR,Source,Source,0,Source
admin,i18n.col.status,,fr_FR,Status,Statut,0,Statut
admin,i18n.col.translation,,fr_FR,Translation,Traduction,0,Traduction
admin,i18n.domain,,fr_FR,Domain,Domaine,0,Domaine
admin,i18n.locale,,fr_FR,Locale,Langue,0,Langue
admin,i18n.search_placeholder,,fr_FR,Search source or translation,Rechercher dans la source ou la traduction,0,Rechercher dans la source ou la traduction
admin,i18n.status,,fr_FR,Status,Statut,0,Statut
admin,i18n.status.ai_generated,,fr_FR,AI-generated,Généré par IA,0,Généré par IA
admin,i18n.status.approved,,fr_FR,Approved,Approuvé,0,Approuvé
admin,i18n.status.missing,,fr_FR,Missing,Manquant,0,Manquant
admin,i18n.status.needs_review,,fr_FR,Needs review,À réviser,0,À réviser
admin,i18n.status.translated,,fr_FR,Translated,Traduit,0,Traduit
admin,i18n.title,,fr_FR,Translation workbench,Atelier de traduction,0,Atelier de traduction
admin,i18n.tm.exact_match_only,,fr_FR,Exact-match suggestions only,Suggestions de correspondances exactes uniquement,0,Suggestions de correspondances exactes uniquement
admin,i18n.tm.exact_matches,,fr_FR,Exact matches,Correspondances exactes,0,Correspondances exactes
admin,i18n.tm.exact_then_similar,,fr_FR,Exact matches load first. Similar matches load afterwards.,Les correspondances exactes se chargent en premier. Les correspondances similaires se chargent ensuite.,0,Les correspondances exactes se chargent en premier. Les correspondances similaires se chargent ensuite.
admin,i18n.tm.no_exact_matches,,fr_FR,No exact matches,Aucune correspondance exacte,0,Aucune correspondance exacte
admin,i18n.tm.no_similar_matches,,fr_FR,No similar matches,Aucune correspondance similaire,0,Aucune correspondance similaire
admin,i18n.tm.origin,,fr_FR,Origin,Origine,0,Origine
admin,i18n.tm.review_placeholders,,fr_FR,Review placeholders,Vérifier les espaces réservés,0,Vérifier les espaces réservés
admin,i18n.tm.safe,,fr_FR,Safe,Sûr,0,Sûr
admin,i18n.tm.similar_matches,,fr_FR,Similar matches,Correspondances similaires,0,Correspondances similaires
admin,i18n.tm.similarity,,fr_FR,Similarity,Similarité,0,Similarité
admin,i18n.tm.source_example,,fr_FR,Source example,Exemple de source,0,Exemple de source
admin,i18n.tm.title,,fr_FR,Translation memory suggestions,Suggestions de mémoire de traduction,0,Suggestions de mémoire de traduction
admin,menu.admin_menu,,fr_FR,Admin menu,Menu admin,0,Menu admin
admin,menu.blog,,fr_FR,Blog,Blog,0,Blog
admin,menu.custom_menu,,fr_FR,Custom menu,Menu personnalisé,0,Menu personnalisé
admin,menu.home,,fr_FR,Admin home,Accueil admin,0,Accueil admin
admin,menu.import_export,,fr_FR,Import / Export,Importation / Exportation,0,Importation / Exportation
admin,menu.phpinfo,,fr_FR,PHPinfo,Informations PHP,0,Informations PHP
admin,menu.resource_tree,,fr_FR,Website structure,Structure du site web,0,Structure du site web
admin,menu.roles,,fr_FR,Roles,Rôles,0,Rôles
admin,menu.section.administration,,fr_FR,Administration,Administration,0,Administration
admin,menu.section.configuration,,fr_FR,Configuration,Configuration,0,Configuration
admin,menu.section.content,,fr_FR,Content,Contenu,0,Contenu
admin,menu.section.developer_tools,,fr_FR,Developer tools,Outils développeur,0,Outils développeur
admin,menu.template_engines,,fr_FR,Template engines,Moteurs de modèles,0,Moteurs de modèles
admin,menu.theme_selector,,fr_FR,Theme selection,Sélection du thème,0,Sélection du thème
admin,menu.translations,,fr_FR,Translations,Traductions,0,Traductions
admin,menu.usergroups,,fr_FR,User groups,Groupes d'utilisateurs,0,Groupes d'utilisateurs
admin,menu.widget_preview,,fr_FR,Widget preview,Aperçu du widget,0,Aperçu du widget
cms,admin_dropdown.edit_mode,,fr_FR,Edit mode,Mode édition,0,Mode édition
cms,admin_dropdown.edit_mode_off,,fr_FR,off,désactivé,0,désactivé
cms,admin_dropdown.edit_mode_on,,fr_FR,on,activé,0,activé
cms,admin_dropdown.seo,,fr_FR,SEO,SEO,0,SEO
cms,admin_menu.form.name,,fr_FR,Admin menu administration,Administration du menu admin,0,Administration du menu admin
cms,admin_menu.form.title_create,,fr_FR,Create admin menu item,Créer un élément de menu admin,0,Créer un élément de menu admin
cms,admin_menu.form.title_edit,,fr_FR,Edit admin menu item,Modifier l'élément du menu admin,0,Modifier l'élément du menu admin
cms,edit,,fr_FR,Edit,Modifier,0,Modifier
cms,edit_mode.disabled,,fr_FR,Edit mode disabled,Mode édition désactivé,0,Mode édition désactivé
cms,edit_mode.enabled,,fr_FR,Edit mode enabled,Mode édition activé,0,Mode édition activé
cms,edit_mode.save_error,,fr_FR,Error: Unable to save configuration,Erreur : Impossible d'enregistrer la configuration,0,Erreur : Impossible d'enregistrer la configuration
cms,error.login_page_missing,,fr_FR,Login page not found - create it manually,Page de connexion introuvable - créez-la manuellement,0,Page de connexion introuvable - créez-la manuellement
cms,file_upload.destination_path,,fr_FR,Destination path,Chemin de destination,0,Chemin de destination
cms,file_upload.unknown_destination,,fr_FR,Unknown destination path,Chemin de destination inconnu,0,Chemin de destination inconnu
cms,file.missing_ref_id,,fr_FR,Missing file reference,Référence de fichier manquante,0,Référence de fichier manquante
cms,file.upload_error,,fr_FR,Error: File upload failed,Erreur : Échec du téléversement du fichier,0,Erreur : Échec du téléversement du fichier
cms,file.uploaded,,fr_FR,File uploaded,Fichier téléversé,0,Fichier téléversé
