domain,key,context,locale,source_text,expected_text,human_reviewed,allow_source_match,text
cli_runner,title,,pt-BR,"CLI Command Runner","Executor de comandos CLI",0,0,"Executor de comandos CLI"
cli_runner,subtitle,,pt-BR,"Execute Radaptor CLI commands from the browser.","Execute comandos CLI do Radaptor pelo navegador.",0,0,"Execute comandos CLI do Radaptor pelo navegador."
cli_runner,select_command,,pt-BR,"Select a command from the list to get started.","Selecione um comando na lista para começar.",0,0,"Selecione um comando na lista para começar."
cli_runner,action.run,,pt-BR,Run,Executar,0,0,Executar
cli_runner,action.confirm,,pt-BR,"Confirm & Run","Confirmar e executar",0,0,"Confirmar e executar"
cli_runner,action.clear,,pt-BR,Clear,Limpar,0,0,Limpar
cli_runner,action.copy,,pt-BR,Copy,Copiar,0,0,Copiar
cli_runner,action.copied,,pt-BR,Copied,Copiado,0,0,Copiado
cli_runner,confirm.title,,pt-BR,"Confirm Command","Confirmar comando",0,0,"Confirmar comando"
cli_runner,confirm.message,,pt-BR,"This command will modify data or system state. Are you sure?","Este comando modificará dados ou o estado do sistema. Tem certeza?",0,0,"Este comando modificará dados ou o estado do sistema. Tem certeza?"
cli_runner,output.title,,pt-BR,Output,Saída,0,0,Saída
cli_runner,output.empty,,pt-BR,"No output","Sem saída",0,0,"Sem saída"
cli_runner,output.running,,pt-BR,"Running command...","Executando comando...",0,0,"Executando comando..."
cli_runner,output.completed,,pt-BR,"Completed in {duration}ms","Concluído em {duration}ms",0,0,"Concluído em {duration}ms"
cli_runner,output.failed,,pt-BR,"Command failed (exit code {code})","Comando falhou (código de saída {code})",0,0,"Comando falhou (código de saída {code})"
cli_runner,output.timeout,,pt-BR,"Command timed out","Tempo do comando esgotado",0,0,"Tempo do comando esgotado"
cli_runner,category.build,,pt-BR,Build,Build,0,1,Build
cli_runner,category.db,,pt-BR,Database,"Banco de dados",0,0,"Banco de dados"
cli_runner,category.emailqueue,,pt-BR,"Email Queue","Fila de e-mail",0,0,"Fila de e-mail"
cli_runner,category.form,,pt-BR,Forms,Formulários,0,0,Formulários
cli_runner,category.i18n,,pt-BR,Translations,Traduções,0,0,Traduções
cli_runner,category.migrate,,pt-BR,Migrations,Migrações,0,0,Migrações
cli_runner,category.plugin,,pt-BR,Plugins,Plugins,0,1,Plugins
cli_runner,category.role,,pt-BR,Roles,Papéis,0,0,Papéis
cli_runner,category.site,,pt-BR,Site,Site,0,1,Site
cli_runner,category.user,,pt-BR,Users,Usuários,0,0,Usuários
cli_runner,category.userconfig,,pt-BR,"User Config","Configuração do usuário",0,0,"Configuração do usuário"
cli_runner,category.usergroup,,pt-BR,"User Groups","Grupos de usuários",0,0,"Grupos de usuários"
cli_runner,category.webpage,,pt-BR,Webpages,"Páginas web",0,0,"Páginas web"
cli_runner,category.widget,,pt-BR,Widgets,Widgets,0,1,Widgets
