domain,key,context,locale,source_text,expected_text,human_reviewed,text
import_export,action.export_csv,,en_US,"Export CSV","Export CSV",0,"Export CSV"
import_export,action.preview_import,,en_US,"Preview import","Preview import",0,"Preview import"
import_export,action.run_import,,en_US,"Run import","Run import",0,"Run import"
import_export,dataset.i18n_translations.description,,en_US,"Export and import translation rows as CSV.","Export and import translation rows as CSV.",0,"Export and import translation rows as CSV."
import_export,dataset.i18n_translations.name,,en_US,"I18n translations","I18n translations",0,"I18n translations"
import_export,error.dataset_not_found,,en_US,"Import/export dataset not found.","Import/export dataset not found.",0,"Import/export dataset not found."
import_export,error.file_read,,en_US,"Unable to read the uploaded CSV file.","Unable to read the uploaded CSV file.",0,"Unable to read the uploaded CSV file."
import_export,error.file_required,,en_US,"Please select a CSV file to import.","Please select a CSV file to import.",0,"Please select a CSV file to import."
import_export,error.invalid_format,,en_US,"Invalid format","Invalid format",0,"Invalid format"
import_export,error.invalid_mode,,en_US,"Invalid import mode.","Invalid import mode.",0,"Invalid import mode."
import_export,error.locale_required,,en_US,"Locale is required for export.","Locale is required for export.",0,"Locale is required for export."
import_export,export.title,,en_US,"Export CSV","Export CSV",0,"Export CSV"
import_export,field.dataset.label,,en_US,Dataset,Dataset,0,Dataset
import_export,field.expect_locale.any,,en_US,"Any locale in file","Any locale in file",0,"Any locale in file"
import_export,field.expect_locale.help,,en_US,"Optional for insert_new and upsert. Sync should normally set this explicitly and always uses a single-locale scope, even when importing wide CSV.","Optional for insert_new and upsert. Sync should normally set this explicitly and always uses a single-locale scope, even when importing wide CSV.",0,"Optional for insert_new and upsert. Sync should normally set this explicitly and always uses a single-locale scope, even when importing wide CSV."
import_export,field.expect_locale.label,,en_US,"Expected locale","Expected locale",0,"Expected locale"
import_export,field.file.help,,en_US,"Upload a CSV file exported from the same dataset.","Upload a CSV file exported from the same dataset.",0,"Upload a CSV file exported from the same dataset."
import_export,field.file.label,,en_US,"CSV file","CSV file",0,"CSV file"
import_export,field.format.help,,en_US,"Normalized keeps one row per locale. Wide groups locales into text:<locale> columns.","Normalized keeps one row per locale. Wide groups locales into text:<locale> columns.",0,"Normalized keeps one row per locale. Wide groups locales into text:<locale> columns."
import_export,field.format.label,,en_US,Format,Format,0,Format
import_export,field.locale.all,,en_US,"All locales","All locales",0,"All locales"
import_export,field.locale.help,,en_US,"Leave empty to export all locales, or choose one locale for a smaller file. Wide format puts locale values into text:<locale> columns.","Leave empty to export all locales, or choose one locale for a smaller file. Wide format puts locale values into text:<locale> columns.",0,"Leave empty to export all locales, or choose one locale for a smaller file. Wide format puts locale values into text:<locale> columns."
import_export,field.locale.label,,en_US,Locale,Locale,0,Locale
import_export,field.mode.help,,en_US,"Sync is destructive: it deletes rows missing from the imported locale slice and only supports single-locale files.","Sync is destructive: it deletes rows missing from the imported locale slice and only supports single-locale files.",0,"Sync is destructive: it deletes rows missing from the imported locale slice and only supports single-locale files."
import_export,field.mode.label,,en_US,"Import mode","Import mode",0,"Import mode"
import_export,format.auto,,en_US,Auto-detect,Auto-detect,0,Auto-detect
import_export,format.normalized,,en_US,Normalized,Normalized,0,Normalized
import_export,format.wide,,en_US,Wide,Wide,0,Wide
