domain,key,context,locale,source_text,expected_text,human_reviewed,text
admin,i18n.col.domain,,de_DE,Domain,Domain,0,Domain
admin,i18n.col.key,,de_DE,Key,Schlüssel,0,Schlüssel
admin,i18n.col.reviewed,,de_DE,Reviewed,Geprüft,1,Geprüft
admin,i18n.col.source,,de_DE,Source,Quelle,0,Quelle
admin,i18n.col.status,,de_DE,Status,Status,0,Status
admin,i18n.col.translation,,de_DE,Translation,Übersetzung,0,Übersetzung
admin,i18n.domain,,de_DE,Domain,Domain,0,Domain
admin,i18n.locale,,de_DE,Locale,Gebietsschema,0,Gebietsschema
admin,i18n.search_placeholder,,de_DE,"Search source or translation","Quelle oder Übersetzung suchen",0,"Quelle oder Übersetzung suchen"
admin,i18n.status,,de_DE,Status,Status,0,Status
admin,i18n.status.ai_generated,,de_DE,AI-generated,KI-generiert,0,KI-generiert
admin,i18n.status.approved,,de_DE,Approved,Genehmigt,0,Genehmigt
admin,i18n.status.missing,,de_DE,Missing,Fehlend,0,Fehlend
admin,i18n.status.needs_review,,de_DE,"Needs review","Zu überprüfen",0,"Zu überprüfen"
admin,i18n.status.translated,,de_DE,Translated,Übersetzt,0,Übersetzt
admin,i18n.title,,de_DE,"Translation workbench",Übersetzungsarbeitsplatz,0,Übersetzungsarbeitsplatz
admin,i18n.tm.exact_match_only,,de_DE,"Exact-match suggestions only","Nur exakte Übereinstimmungen",0,"Nur exakte Übereinstimmungen"
admin,i18n.tm.exact_matches,,de_DE,"Exact matches","Exakte Treffer",0,"Exakte Treffer"
admin,i18n.tm.exact_then_similar,,de_DE,"Exact matches load first. Similar matches load afterwards.","Exakte Treffer werden zuerst geladen, ähnliche Treffer danach.",0,"Exakte Treffer werden zuerst geladen, ähnliche Treffer danach."
admin,i18n.tm.no_exact_matches,,de_DE,"No exact matches","Keine exakten Treffer",0,"Keine exakten Treffer"
admin,i18n.tm.no_similar_matches,,de_DE,"No similar matches","Keine ähnlichen Treffer",0,"Keine ähnlichen Treffer"
admin,i18n.tm.origin,,de_DE,Origin,Herkunft,0,Herkunft
admin,i18n.tm.review_placeholders,,de_DE,"Review placeholders","Platzhalter prüfen",0,"Platzhalter prüfen"
admin,i18n.tm.safe,,de_DE,Safe,Sicher,0,Sicher
admin,i18n.tm.similar_matches,,de_DE,"Similar matches","Ähnliche Treffer",0,"Ähnliche Treffer"
admin,i18n.tm.similarity,,de_DE,Similarity,Ähnlichkeit,0,Ähnlichkeit
admin,i18n.tm.source_example,,de_DE,"Source example",Quellbeispiel,0,Quellbeispiel
admin,i18n.tm.title,,de_DE,"Translation memory suggestions",Translation-Memory-Vorschläge,0,Translation-Memory-Vorschläge
admin,menu.admin_menu,,de_DE,"Admin menu",Admin-Menü,0,Admin-Menü
admin,menu.blog,,de_DE,Blog,Blog,0,Blog
admin,menu.custom_menu,,de_DE,"Custom menu","Benutzerdefiniertes Menü",0,"Benutzerdefiniertes Menü"
admin,menu.home,,de_DE,"Admin home",Admin-Startseite,0,Admin-Startseite
admin,menu.import_export,,de_DE,"Import / Export","Import / Export",0,"Import / Export"
admin,menu.phpinfo,,de_DE,PHPinfo,PHPinfo,0,PHPinfo
admin,menu.resource_tree,,de_DE,"Website structure",Webseitenstruktur,0,Webseitenstruktur
