domain,key,context,locale,source_text,expected_text,human_reviewed,allow_source_match,text
import_export,action.export_csv,,fr-FR,"Export CSV","Exporter CSV",0,0,"Exporter CSV"
import_export,action.preview_import,,fr-FR,"Preview import","Aperçu de l'importation",0,0,"Aperçu de l'importation"
import_export,action.run_import,,fr-FR,"Run import","Lancer l'importation",0,0,"Lancer l'importation"
import_export,dataset.i18n_translations.description,,fr-FR,"Export and import translation rows as CSV.","Exporter et importer des lignes de traduction au format CSV.",0,0,"Exporter et importer des lignes de traduction au format CSV."
import_export,dataset.i18n_translations.name,,fr-FR,"I18n translations","Traductions i18n",0,0,"Traductions i18n"
import_export,error.dataset_not_found,,fr-FR,"Import/export dataset not found.","Ensemble de données d'importation/exportation introuvable.",0,0,"Ensemble de données d'importation/exportation introuvable."
import_export,error.file_read,,fr-FR,"Unable to read the uploaded CSV file.","Impossible de lire le fichier CSV téléversé.",0,0,"Impossible de lire le fichier CSV téléversé."
import_export,error.file_required,,fr-FR,"Please select a CSV file to import.","Veuillez sélectionner un fichier CSV à importer.",0,0,"Veuillez sélectionner un fichier CSV à importer."
import_export,error.invalid_format,,fr-FR,"Invalid format","Format invalide",0,0,"Format invalide"
import_export,error.invalid_mode,,fr-FR,"Invalid import mode.","Mode d'importation invalide.",0,0,"Mode d'importation invalide."
import_export,error.locale_required,,fr-FR,"Locale is required for export.","La langue est obligatoire pour l'exportation.",0,0,"La langue est obligatoire pour l'exportation."
import_export,error.wide_no_locale_columns,,fr-FR,"Wide CSV must contain at least one text:<locale> column.","Le CSV large doit contenir au moins une colonne text:<locale>.",0,0,"Le CSV large doit contenir au moins une colonne text:<locale>."
import_export,export.title,,fr-FR,"Export CSV","Exporter CSV",0,0,"Exporter CSV"
import_export,field.dataset.label,,fr-FR,Dataset,"Ensemble de données",0,0,"Ensemble de données"
import_export,field.expect_locale.any,,fr-FR,"Any locale in file","Toute langue dans le fichier",0,0,"Toute langue dans le fichier"
import_export,field.expect_locale.help,,fr-FR,"Optional for insert_new and upsert. Sync should normally set this explicitly and always uses a single-locale scope, even when importing wide CSV.","Facultatif pour insert_new et upsert. Sync doit normalement définir cela explicitement et utilise toujours une portée à langue unique, même lors de l'importation de CSV large.",0,0,"Facultatif pour insert_new et upsert. Sync doit normalement définir cela explicitement et utilise toujours une portée à langue unique, même lors de l'importation de CSV large."
import_export,field.expect_locale.label,,fr-FR,"Expected locale","Langue attendue",0,0,"Langue attendue"
import_export,field.file.help,,fr-FR,"Upload a CSV file exported from the same dataset.","Téléversez un fichier CSV exporté depuis le même ensemble de données.",0,0,"Téléversez un fichier CSV exporté depuis le même ensemble de données."
import_export,field.file.label,,fr-FR,"CSV file","Fichier CSV",0,0,"Fichier CSV"
import_export,field.format.help,,fr-FR,"Normalized keeps one row per locale. Wide groups locales into text:<locale> columns.","Normalisé conserve une ligne par langue. Large regroupe les langues dans des colonnes text:<langue>.",0,0,"Normalisé conserve une ligne par langue. Large regroupe les langues dans des colonnes text:<langue>."
import_export,field.format.label,,fr-FR,Format,Format,0,1,Format
import_export,field.locale.all,,fr-FR,"All locales","Toutes les langues",0,0,"Toutes les langues"
import_export,field.locale.help,,fr-FR,"Leave empty to export all locales, or choose one locale for a smaller file. Wide format puts locale values into text:<locale> columns.","Laissez vide pour exporter toutes les langues, ou choisissez une langue pour un fichier plus petit. Le format large place les valeurs de langue dans les colonnes text:<langue>.",0,0,"Laissez vide pour exporter toutes les langues, ou choisissez une langue pour un fichier plus petit. Le format large place les valeurs de langue dans les colonnes text:<langue>."
import_export,field.locale.label,,fr-FR,Locale,Langue,0,0,Langue
import_export,field.mode.help,,fr-FR,"Sync is destructive: it deletes rows missing from the imported locale slice and only supports single-locale files.","La synchronisation est destructive : elle supprime les lignes manquantes dans la tranche de langue importée et ne prend en charge que les fichiers à langue unique.",0,0,"La synchronisation est destructive : elle supprime les lignes manquantes dans la tranche de langue importée et ne prend en charge que les fichiers à langue unique."
import_export,field.mode.label,,fr-FR,"Import mode","Mode d'importation",0,0,"Mode d'importation"
import_export,format.auto,,fr-FR,Auto-detect,"Détection automatique",0,0,"Détection automatique"
import_export,format.normalized,,fr-FR,Normalized,Normalisé,0,0,Normalisé
import_export,format.wide,,fr-FR,Wide,Large,0,0,Large
import_export,import.title,,fr-FR,"Import CSV","Importer CSV",0,0,"Importer CSV"
import_export,mode.insert_new,,fr-FR,"Insert new only","Insérer uniquement les nouveaux",0,0,"Insérer uniquement les nouveaux"
import_export,mode.sync,,fr-FR,"Sync locale slice","Synchroniser la tranche de langue",0,0,"Synchroniser la tranche de langue"
import_export,mode.upsert,,fr-FR,"Upsert existing","Mettre à jour ou insérer",0,0,"Mettre à jour ou insérer"
import_export,result.deleted,,fr-FR,Deleted,Supprimé,0,0,Supprimé
import_export,result.detected_locale,,fr-FR,"Detected locale","Langue détectée",0,0,"Langue détectée"
import_export,result.detected_locales,,fr-FR,"Detected locales","Langues détectées",0,0,"Langues détectées"
import_export,result.dry_run_summary,,fr-FR,"Dry-run summary for {dataset}.","Résumé de simulation pour {dataset}.",0,0,"Résumé de simulation pour {dataset}."
import_export,result.error_summary,,fr-FR,"Import finished with errors for {dataset}.","Importation terminée avec des erreurs pour {dataset}.",0,0,"Importation terminée avec des erreurs pour {dataset}."
import_export,result.format,,fr-FR,Format,Format,0,1,Format
