domain,key,context,locale,source_text,expected_text,human_reviewed,text
import_export,action.export_csv,,ko-KR,"Export CSV","CSV 내보내기",0,"CSV 내보내기"
import_export,action.preview_import,,ko-KR,"Preview import","가져오기 미리보기",0,"가져오기 미리보기"
import_export,action.run_import,,ko-KR,"Run import","가져오기 실행",0,"가져오기 실행"
import_export,dataset.i18n_translations.description,,ko-KR,"Export and import translation rows as CSV.","번역 행을 CSV로 내보내고 가져옵니다.",0,"번역 행을 CSV로 내보내고 가져옵니다."
import_export,dataset.i18n_translations.name,,ko-KR,"I18n translations","I18n 번역",0,"I18n 번역"
import_export,error.dataset_not_found,,ko-KR,"Import/export dataset not found.","가져오기/내보내기 데이터셋을 찾을 수 없습니다.",0,"가져오기/내보내기 데이터셋을 찾을 수 없습니다."
import_export,error.file_read,,ko-KR,"Unable to read the uploaded CSV file.","업로드된 CSV 파일을 읽을 수 없습니다.",0,"업로드된 CSV 파일을 읽을 수 없습니다."
import_export,error.file_required,,ko-KR,"Please select a CSV file to import.","가져올 CSV 파일을 선택하세요.",0,"가져올 CSV 파일을 선택하세요."
import_export,error.invalid_format,,ko-KR,"Invalid format","잘못된 형식",0,"잘못된 형식"
import_export,error.invalid_mode,,ko-KR,"Invalid import mode.","잘못된 가져오기 모드.",0,"잘못된 가져오기 모드."
import_export,error.locale_required,,ko-KR,"Locale is required for export.","내보내기에는 로케일이 필요합니다.",0,"내보내기에는 로케일이 필요합니다."
import_export,error.wide_no_locale_columns,,ko-KR,"Wide CSV must contain at least one text:<locale> column.","와이드 CSV에는 text:<locale> 열이 하나 이상 있어야 합니다.",0,"와이드 CSV에는 text:<locale> 열이 하나 이상 있어야 합니다."
import_export,export.title,,ko-KR,"Export CSV","CSV 내보내기",0,"CSV 내보내기"
import_export,field.dataset.label,,ko-KR,Dataset,데이터셋,0,데이터셋
import_export,field.expect_locale.any,,ko-KR,"Any locale in file","파일의 모든 로케일",0,"파일의 모든 로케일"
import_export,field.expect_locale.help,,ko-KR,"Optional for insert_new and upsert. Sync should normally set this explicitly and always uses a single-locale scope, even when importing wide CSV.","insert_new 및 upsert에서는 선택사항. sync는 일반적으로 명시적으로 설정해야 하며 와이드 CSV를 가져올 때도 항상 단일 로케일 범위를 사용합니다.",0,"insert_new 및 upsert에서는 선택사항. sync는 일반적으로 명시적으로 설정해야 하며 와이드 CSV를 가져올 때도 항상 단일 로케일 범위를 사용합니다."
import_export,field.expect_locale.label,,ko-KR,"Expected locale","예상 로케일",0,"예상 로케일"
import_export,field.file.help,,ko-KR,"Upload a CSV file exported from the same dataset.","동일한 데이터셋에서 내보낸 CSV 파일을 업로드하세요.",0,"동일한 데이터셋에서 내보낸 CSV 파일을 업로드하세요."
import_export,field.file.label,,ko-KR,"CSV file","CSV 파일",0,"CSV 파일"
import_export,field.format.help,,ko-KR,"Normalized keeps one row per locale. Wide groups locales into text:<locale> columns.","정규화는 로케일당 하나의 행을 유지합니다. 와이드는 로케일을 text:<locale> 열로 그룹화합니다.",0,"정규화는 로케일당 하나의 행을 유지합니다. 와이드는 로케일을 text:<locale> 열로 그룹화합니다."
import_export,field.format.label,,ko-KR,Format,형식,0,형식
import_export,field.locale.all,,ko-KR,"All locales","모든 로케일",0,"모든 로케일"
import_export,field.locale.help,,ko-KR,"Leave empty to export all locales, or choose one locale for a smaller file. Wide format puts locale values into text:<locale> columns.","모든 로케일을 내보내려면 비워두거나 작은 파일을 위해 하나의 로케일을 선택하세요. 와이드 형식은 로케일 값을 text:<locale> 열에 넣습니다.",0,"모든 로케일을 내보내려면 비워두거나 작은 파일을 위해 하나의 로케일을 선택하세요. 와이드 형식은 로케일 값을 text:<locale> 열에 넣습니다."
import_export,field.locale.label,,ko-KR,Locale,로케일,0,로케일
import_export,field.mode.help,,ko-KR,"Sync is destructive: it deletes rows missing from the imported locale slice and only supports single-locale files.","Sync는 파괴적입니다: 가져온 로케일 슬라이스에서 누락된 행을 삭제하며 단일 로케일 파일만 지원합니다.",0,"Sync는 파괴적입니다: 가져온 로케일 슬라이스에서 누락된 행을 삭제하며 단일 로케일 파일만 지원합니다."
import_export,field.mode.label,,ko-KR,"Import mode","가져오기 모드",0,"가져오기 모드"
import_export,format.auto,,ko-KR,Auto-detect,"자동 감지",0,"자동 감지"
import_export,format.normalized,,ko-KR,Normalized,정규화,0,정규화
import_export,format.wide,,ko-KR,Wide,와이드,0,와이드
import_export,import.title,,ko-KR,"Import CSV","CSV 가져오기",0,"CSV 가져오기"
import_export,mode.insert_new,,ko-KR,"Insert new only","새로운 항목만 삽입",0,"새로운 항목만 삽입"
import_export,mode.sync,,ko-KR,"Sync locale slice","로케일 슬라이스 동기화",0,"로케일 슬라이스 동기화"
import_export,mode.upsert,,ko-KR,"Upsert existing","기존 항목 업서트",0,"기존 항목 업서트"
import_export,result.deleted,,ko-KR,Deleted,삭제됨,0,삭제됨
import_export,result.detected_locale,,ko-KR,"Detected locale","감지된 로케일",0,"감지된 로케일"
import_export,result.detected_locales,,ko-KR,"Detected locales","감지된 로케일들",0,"감지된 로케일들"
import_export,result.dry_run_summary,,ko-KR,"Dry-run summary for {dataset}.","{dataset}의 시험 실행 요약.",0,"{dataset}의 시험 실행 요약."
import_export,result.error_summary,,ko-KR,"Import finished with errors for {dataset}.","{dataset} 가져오기가 오류와 함께 완료됨.",0,"{dataset} 가져오기가 오류와 함께 완료됨."
import_export,result.format,,ko-KR,Format,형식,0,형식
import_export,result.imported,,ko-KR,Imported,가져옴,0,가져옴
import_export,result.inserted,,ko-KR,Inserted,삽입됨,0,삽입됨
import_export,result.mode,,ko-KR,Mode,모드,0,모드
import_export,result.processed,,ko-KR,Processed,처리됨,0,처리됨
import_export,result.skipped,,ko-KR,Skipped,건너뜀,0,건너뜀
import_export,result.success_summary,,ko-KR,"Import completed successfully for {dataset}.","{dataset} 가져오기가 성공적으로 완료됨.",0,"{dataset} 가져오기가 성공적으로 완료됨."
import_export,result.updated,,ko-KR,Updated,업데이트됨,0,업데이트됨
import_export,workbench.description,,ko-KR,"Export data to CSV or import CSV files into registered datasets.","데이터를 CSV로 내보내거나 등록된 데이터셋에 CSV 파일을 가져옵니다.",0,"데이터를 CSV로 내보내거나 등록된 데이터셋에 CSV 파일을 가져옵니다."
import_export,workbench.no_datasets,,ko-KR,"No import/export datasets are available.","사용 가능한 가져오기/내보내기 데이터셋이 없습니다.",0,"사용 가능한 가져오기/내보내기 데이터셋이 없습니다."
import_export,workbench.title,,ko-KR,"Import / Export","가져오기 / 내보내기",0,"가져오기 / 내보내기"
import_export,error.upload_backup_required,,ko-KR,"Confirm the uploaded files backup before exporting the site snapshot.","사이트 스냅샷을 내보내기 전에 업로드된 파일 백업을 확인하세요.",0,"사이트 스냅샷을 내보내기 전에 업로드된 파일 백업을 확인하세요."
import_export,dataset.site_snapshot.name,,ko-KR,"Site snapshot","사이트 스냅샷",0,"사이트 스냅샷"
import_export,dataset.site_snapshot.description,,ko-KR,"Export or restore database-backed site content and identity data as a JSON disaster-recovery snapshot.","데이터베이스 기반 사이트 콘텐츠와 식별 데이터를 재해 복구용 JSON 스냅샷으로 내보내거나 복원합니다.",0,"데이터베이스 기반 사이트 콘텐츠와 식별 데이터를 재해 복구용 JSON 스냅샷으로 내보내거나 복원합니다."
import_export,field.uploads_backed_up.label,,ko-KR,"Uploaded files backed up","업로드된 파일 백업 완료",0,"업로드된 파일 백업 완료"
import_export,field.uploads_backed_up.help,,ko-KR,"Confirm that the upload directory has been copied separately before downloading the JSON snapshot.","JSON 스냅샷을 다운로드하기 전에 업로드 디렉터리를 별도로 복사했는지 확인하세요.",0,"JSON 스냅샷을 다운로드하기 전에 업로드 디렉터리를 별도로 복사했는지 확인하세요."
import_export,field.site_snapshot_file.label,,ko-KR,"Site snapshot JSON","사이트 스냅샷 JSON",0,"사이트 스냅샷 JSON"
import_export,field.site_snapshot_file.help,,ko-KR,"Upload a JSON snapshot exported from the same Radaptor schema. Copy the upload directory before applying the import.","같은 Radaptor 스키마에서 내보낸 JSON 스냅샷을 업로드하세요. 가져오기를 적용하기 전에 업로드 디렉터리를 복사하세요.",0,"같은 Radaptor 스키마에서 내보낸 JSON 스냅샷을 업로드하세요. 가져오기를 적용하기 전에 업로드 디렉터리를 복사하세요."
import_export,field.replace_confirmed.label,,ko-KR,"Replace current site data","현재 사이트 데이터 교체",0,"현재 사이트 데이터 교체"
import_export,field.replace_confirmed.help,,ko-KR,"Required for the real import. The restore replaces the snapshot-managed database tables.","실제 가져오기에 필요합니다. 복원은 스냅샷이 관리하는 데이터베이스 테이블을 교체합니다.",0,"실제 가져오기에 필요합니다. 복원은 스냅샷이 관리하는 데이터베이스 테이블을 교체합니다."
import_export,site_snapshot.export.title,,ko-KR,"Export JSON snapshot","JSON 스냅샷 내보내기",0,"JSON 스냅샷 내보내기"
import_export,site_snapshot.import.title,,ko-KR,"Import JSON snapshot","JSON 스냅샷 가져오기",0,"JSON 스냅샷 가져오기"
