domain,key,context,locale,source_text,expected_text,human_reviewed,text
cli_runner,title,,es_ES,"CLI Command Runner","Ejecutor de comandos CLI",0,"Ejecutor de comandos CLI"
cli_runner,subtitle,,es_ES,"Execute Radaptor CLI commands from the browser.","Ejecute comandos CLI de Radaptor desde el navegador.",0,"Ejecute comandos CLI de Radaptor desde el navegador."
cli_runner,select_command,,es_ES,"Select a command from the list to get started.","Seleccione un comando de la lista para empezar.",0,"Seleccione un comando de la lista para empezar."
cli_runner,action.run,,es_ES,Run,Ejecutar,0,Ejecutar
cli_runner,action.confirm,,es_ES,"Confirm & Run","Confirmar y ejecutar",0,"Confirmar y ejecutar"
cli_runner,action.clear,,es_ES,Clear,Limpiar,0,Limpiar
cli_runner,confirm.title,,es_ES,"Confirm Command","Confirmar comando",0,"Confirmar comando"
cli_runner,confirm.message,,es_ES,"This command will modify data or system state. Are you sure?","Este comando modificará datos o el estado del sistema. ¿Está seguro?",0,"Este comando modificará datos o el estado del sistema. ¿Está seguro?"
cli_runner,output.title,,es_ES,Output,Salida,0,Salida
cli_runner,output.empty,,es_ES,"No output","Sin salida",0,"Sin salida"
cli_runner,output.running,,es_ES,"Running command...","Ejecutando comando...",0,"Ejecutando comando..."
cli_runner,output.completed,,es_ES,"Completed in {duration}ms","Completado en {duration}ms",0,"Completado en {duration}ms"
cli_runner,output.failed,,es_ES,"Command failed (exit code {code})","El comando falló (código de salida {code})",0,"El comando falló (código de salida {code})"
cli_runner,output.timeout,,es_ES,"Command timed out","El comando agotó el tiempo",0,"El comando agotó el tiempo"
cli_runner,category.build,,es_ES,Build,Compilación,0,Compilación
cli_runner,category.db,,es_ES,Database,"Base de datos",0,"Base de datos"
cli_runner,category.emailqueue,,es_ES,"Email Queue","Cola de correo",0,"Cola de correo"
cli_runner,category.form,,es_ES,Forms,Formularios,0,Formularios
cli_runner,category.i18n,,es_ES,Translations,Traducciones,0,Traducciones
cli_runner,category.migrate,,es_ES,Migrations,Migraciones,0,Migraciones
cli_runner,category.plugin,,es_ES,Plugins,Plugins,0,Plugins
cli_runner,category.role,,es_ES,Roles,Roles,0,Roles
cli_runner,category.site,,es_ES,Site,Sitio,0,Sitio
cli_runner,category.user,,es_ES,Users,Usuarios,0,Usuarios
cli_runner,category.userconfig,,es_ES,"User Config","Configuración de usuario",0,"Configuración de usuario"
cli_runner,category.usergroup,,es_ES,"User Groups","Grupos de usuarios",0,"Grupos de usuarios"
cli_runner,category.webpage,,es_ES,Webpages,"Páginas web",0,"Páginas web"
cli_runner,category.widget,,es_ES,Widgets,Widgets,0,Widgets
