domain,key,context,locale,source_text,expected_text,human_reviewed,text
admin,i18n.col.domain,,ko_KR,Domain,도메인,0,도메인
admin,i18n.col.key,,ko_KR,Key,키,0,키
admin,i18n.col.reviewed,,ko_KR,Reviewed,검토됨,0,검토됨
admin,i18n.col.source,,ko_KR,Source,원본,0,원본
admin,i18n.col.status,,ko_KR,Status,상태,0,상태
admin,i18n.col.translation,,ko_KR,Translation,번역,0,번역
admin,i18n.domain,,ko_KR,Domain,도메인,0,도메인
admin,i18n.locale,,ko_KR,Locale,로케일,0,로케일
admin,i18n.search_placeholder,,ko_KR,Search source or translation,원본 또는 번역 검색,0,원본 또는 번역 검색
admin,i18n.status,,ko_KR,Status,상태,0,상태
admin,i18n.status.ai_generated,,ko_KR,AI-generated,AI 생성,0,AI 생성
admin,i18n.status.approved,,ko_KR,Approved,승인됨,0,승인됨
admin,i18n.status.missing,,ko_KR,Missing,누락,0,누락
admin,i18n.status.needs_review,,ko_KR,Needs review,검토 필요,0,검토 필요
admin,i18n.status.translated,,ko_KR,Translated,번역됨,0,번역됨
admin,i18n.title,,ko_KR,Translation workbench,번역 작업대,0,번역 작업대
admin,i18n.tm.exact_match_only,,ko_KR,Exact-match suggestions only,완전 일치 제안만,0,완전 일치 제안만
admin,i18n.tm.exact_matches,,ko_KR,Exact matches,완전 일치,0,완전 일치
admin,i18n.tm.exact_then_similar,,ko_KR,Exact matches load first. Similar matches load afterwards.,완전 일치가 먼저 로드됩니다. 유사 일치는 이후에 로드됩니다.,0,완전 일치가 먼저 로드됩니다. 유사 일치는 이후에 로드됩니다.
admin,i18n.tm.no_exact_matches,,ko_KR,No exact matches,완전 일치 없음,0,완전 일치 없음
admin,i18n.tm.no_similar_matches,,ko_KR,No similar matches,유사 일치 없음,0,유사 일치 없음
admin,i18n.tm.origin,,ko_KR,Origin,출처,0,출처
admin,i18n.tm.review_placeholders,,ko_KR,Review placeholders,플레이스홀더 검토,0,플레이스홀더 검토
admin,i18n.tm.safe,,ko_KR,Safe,안전,0,안전
admin,i18n.tm.similar_matches,,ko_KR,Similar matches,유사 일치,0,유사 일치
admin,i18n.tm.similarity,,ko_KR,Similarity,유사도,0,유사도
admin,i18n.tm.source_example,,ko_KR,Source example,원본 예시,0,원본 예시
admin,i18n.tm.title,,ko_KR,Translation memory suggestions,번역 메모리 제안,0,번역 메모리 제안
admin,menu.admin_menu,,ko_KR,Admin menu,관리자 메뉴,0,관리자 메뉴
admin,menu.blog,,ko_KR,Blog,블로그,0,블로그
admin,menu.custom_menu,,ko_KR,Custom menu,사용자 정의 메뉴,0,사용자 정의 메뉴
admin,menu.home,,ko_KR,Admin home,관리자 홈,0,관리자 홈
admin,menu.import_export,,ko_KR,Import / Export,가져오기 / 내보내기,0,가져오기 / 내보내기
admin,menu.phpinfo,,ko_KR,PHPinfo,PHPinfo,0,PHPinfo
admin,menu.resource_tree,,ko_KR,Website structure,웹사이트 구조,0,웹사이트 구조
admin,menu.roles,,ko_KR,Roles,역할,0,역할
admin,menu.section.administration,,ko_KR,Administration,관리,0,관리
admin,menu.section.configuration,,ko_KR,Configuration,설정,0,설정
admin,menu.section.content,,ko_KR,Content,콘텐츠,0,콘텐츠
admin,menu.section.developer_tools,,ko_KR,Developer tools,개발자 도구,0,개발자 도구
admin,menu.template_engines,,ko_KR,Template engines,템플릿 엔진,0,템플릿 엔진
admin,menu.theme_selector,,ko_KR,Theme selection,테마 선택,0,테마 선택
admin,menu.translations,,ko_KR,Translations,번역,0,번역
admin,menu.usergroups,,ko_KR,User groups,사용자 그룹,0,사용자 그룹
admin,menu.widget_preview,,ko_KR,Widget preview,위젯 미리보기,0,위젯 미리보기
cms,admin_dropdown.edit_mode,,ko_KR,Edit mode,편집 모드,0,편집 모드
cms,admin_dropdown.edit_mode_off,,ko_KR,off,끄기,0,끄기
cms,admin_dropdown.edit_mode_on,,ko_KR,on,켜기,0,켜기
cms,admin_dropdown.seo,,ko_KR,SEO,SEO,0,SEO
cms,admin_menu.form.name,,ko_KR,Admin menu administration,관리자 메뉴 관리,0,관리자 메뉴 관리
cms,admin_menu.form.title_create,,ko_KR,Create admin menu item,관리자 메뉴 항목 만들기,0,관리자 메뉴 항목 만들기
