domain,key,context,locale,source_text,expected_text,human_reviewed,allow_source_match,text
tags,field.context.label,,hu-HU,Context,Környezet,0,0,Környezet
tags,field.description.label,,hu-HU,Tag description,Tag leírása,0,0,Tag leírása
tags,field.name.explanation,,hu-HU,"No spaces, short and concise. Do not create synonyms for existing tags.","Ne legyen szóköz, legyen rövid és tömör. Ne hozz létre szinonimát meglévő tagekhez.",0,0,"Ne legyen szóköz, legyen rövid és tömör. Ne hozz létre szinonimát meglévő tagekhez."
tags,field.name.label,,hu-HU,Tag name,Címke neve,0,0,Címke neve
tags,field.type.explanation,,hu-HU,Select the tag type,Válaszd ki a tag típusát,0,0,Válaszd ki a tag típusát
tags,field.type.label,,hu-HU,Type,Típus,0,0,Típus
tags,form.name,,hu-HU,Tag,Címke,0,0,Címke
tags,form.title_create,,hu-HU,New tag,Új címke,0,0,Új címke
tags,form.title_edit,,hu-HU,Edit tag,Címke módosítása,0,0,Címke módosítása
tags,list.title,,hu-HU,Tags,Címkék,0,0,Címkék
tags,saved,,hu-HU,Tags saved,Címke mentve,0,0,Címke mentve
tags,updated,,hu-HU,Tag updated,Címke frissítve,0,0,Címke frissítve
tags,validation.context_required,,hu-HU,Tag context is required,A címke kontextusa kötelező,0,0,A címke kontextusa kötelező
tags,validation.name_unique,,hu-HU,This tag already exists,Ez a címke már létezik,0,0,Ez a címke már létezik
tags,validation.unknown_context,,hu-HU,Unknown tag context,Ismeretlen címke kontextus,0,0,Ismeretlen címke kontextus
tags,validation.name_max_length,,hu-HU,Tag name must not exceed 255 characters,A tag neve maximum 255 karakter lehet,0,0,A tag neve maximum 255 karakter lehet
