domain,key,context,locale,source_text,expected_text,human_reviewed,text
import_export,action.export_csv,,pl-PL,"Export CSV","Eksport CSV",0,"Eksport CSV"
import_export,action.preview_import,,pl-PL,"Preview import","Podgląd importu",0,"Podgląd importu"
import_export,action.run_import,,pl-PL,"Run import","Uruchom import",0,"Uruchom import"
import_export,dataset.i18n_translations.description,,pl-PL,"Export and import translation rows as CSV.","Eksportuj i importuj wiersze tłumaczeń jako CSV.",0,"Eksportuj i importuj wiersze tłumaczeń jako CSV."
import_export,dataset.i18n_translations.name,,pl-PL,"I18n translations","Tłumaczenia i18n",0,"Tłumaczenia i18n"
import_export,error.dataset_not_found,,pl-PL,"Import/export dataset not found.","Nie znaleziono zbioru danych importu/eksportu.",0,"Nie znaleziono zbioru danych importu/eksportu."
import_export,error.file_read,,pl-PL,"Unable to read the uploaded CSV file.","Nie można odczytać przesłanego pliku CSV.",0,"Nie można odczytać przesłanego pliku CSV."
import_export,error.file_required,,pl-PL,"Please select a CSV file to import.","Wybierz plik CSV do importu.",0,"Wybierz plik CSV do importu."
import_export,error.invalid_format,,pl-PL,"Invalid format","Nieprawidłowy format",0,"Nieprawidłowy format"
import_export,error.invalid_mode,,pl-PL,"Invalid import mode.","Nieprawidłowy tryb importu.",0,"Nieprawidłowy tryb importu."
import_export,error.locale_required,,pl-PL,"Locale is required for export.","Locale jest wymagane do eksportu.",0,"Locale jest wymagane do eksportu."
import_export,error.wide_no_locale_columns,,pl-PL,"Wide CSV must contain at least one text:<locale> column.","Szeroki CSV musi zawierać co najmniej jedną kolumnę text:<locale>.",0,"Szeroki CSV musi zawierać co najmniej jedną kolumnę text:<locale>."
import_export,export.title,,pl-PL,"Export CSV","Eksport CSV",0,"Eksport CSV"
import_export,field.dataset.label,,pl-PL,Dataset,"Zbiór danych",0,"Zbiór danych"
import_export,field.expect_locale.any,,pl-PL,"Any locale in file","Dowolne locale w pliku",0,"Dowolne locale w pliku"
import_export,field.expect_locale.help,,pl-PL,"Optional for insert_new and upsert. Sync should normally set this explicitly and always uses a single-locale scope, even when importing wide CSV.","Opcjonalne dla insert_new i upsert. Sync powinien zwykle ustawiać to jawnie i zawsze używa zakresu jednego locale, nawet przy imporcie szerokiego CSV.",0,"Opcjonalne dla insert_new i upsert. Sync powinien zwykle ustawiać to jawnie i zawsze używa zakresu jednego locale, nawet przy imporcie szerokiego CSV."
import_export,field.expect_locale.label,,pl-PL,"Expected locale","Oczekiwane locale",0,"Oczekiwane locale"
import_export,field.file.help,,pl-PL,"Upload a CSV file exported from the same dataset.","Prześlij plik CSV wyeksportowany z tego samego zbioru danych.",0,"Prześlij plik CSV wyeksportowany z tego samego zbioru danych."
import_export,field.file.label,,pl-PL,"CSV file","Plik CSV",0,"Plik CSV"
